Game,EGO,Spread,Spread Target,Pick
LAR @ SEA,-1.56,1.5,"[5.5, 3.0]",
ARI @ CIN,0.41,3.0,"[3.5, 1.0]",ARI
ATL @ HOU,-3.84,4.0,"[7.5, 5.5]",
BAL @ PIT,0.92,-3.5,"[-2.5, -4.5]",PIT
BUF @ TEN,-4.46,3.5,"[3.0, 1.0]",
CHI @ OAK,1.6,-6.5,"[-3.0, -5.5]",
JAX @ CAR,-4.42,3.0,"[3.0, 0.5]",CAR
MIN @ NYG,1.39,-5.5,"[-3.0, -5.0]",
NE @ WAS,9.9,-15.5,"[-11.5, -13.5]",
NYJ @ PHI,-6.47,14.0,"[10.0, 8.0]",
TB @ NO,-5.05,3.0,"[3.5, 1.5]",NO
DEN @ LAC,-6.88,4.0,"[5.5, 3.0]",LAC
GB @ DAL,-5.05,3.5,"[3.5, 1.5]",DAL
IND @ KC,-8.96,10.5,"[12.5, 10.5]",IND
CLE @ SF,-4.64,5.0,"[8.5, 6.0]",
