Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2015,-2.0,46.0,25,23.0,1,0,0,0,CHI,100.0,71.0,29.0,100.0,37.0,23.0,73.0,48.0,55.0,50.0,33.0,100.0,38.0,100.0,72.0,11.0,1,0,0,0.0,36.0,67.0,0.0,95.0,77.0,46.0,55.0,24.0,39.0,15.0,69.0,59.0,59.0,32.0,44.0,100.0,9.0,72.0,62.0,0.0,67.0,77.0,55.0,39.0,69.0
ATL,2,2015,2.5,51.0,4,6.5,1,0,0,0,NYG,100.0,54.0,82.0,59.0,36.0,30.0,33.0,74.0,49.0,50.0,0.0,83.0,29.0,95.0,66.0,18.0,1,0,0,0.0,48.0,83.0,0.0,45.0,26.0,76.0,85.0,27.0,31.0,46.0,11.0,6.0,38.0,24.0,56.0,59.0,19.0,9.0,12.0,0.0,83.0,26.0,85.0,31.0,11.0
BAL,2,2015,-6.0,43.0,-4,-10.0,-1,0,0,0,OAK,0.0,39.0,6.0,0.0,97.0,31.0,8.0,38.0,37.0,62.0,67.0,67.0,11.0,91.0,0.0,83.0,1,0,0,0.0,14.0,67.0,0.0,39.0,5.0,56.0,59.0,40.0,29.0,35.0,41.0,35.0,22.0,31.0,39.0,26.0,63.0,9.0,75.0,0.0,67.0,5.0,59.0,29.0,41.0
BUF,2,2015,1.0,44.0,-8,-7.0,-1,1,0,0,NWE,100.0,73.0,53.0,71.0,68.0,91.0,51.0,21.0,60.0,12.0,33.0,100.0,53.0,94.0,33.0,51.0,0,0,0,100.0,62.0,67.0,50.0,20.0,15.0,17.0,55.0,88.0,63.0,52.0,20.0,35.0,72.0,10.0,42.0,98.0,34.0,22.0,38.0,50.0,67.0,15.0,55.0,63.0,20.0
CAR,2,2015,-3.0,39.5,7,4.0,1,1,0,0,HOU,100.0,70.0,76.0,19.0,78.0,48.0,67.0,74.0,49.0,25.0,83.0,67.0,29.0,76.0,20.0,76.0,0,0,0,0.0,38.0,17.0,33.0,62.0,25.0,90.0,76.0,37.0,69.0,33.0,54.0,18.0,54.0,58.0,59.0,19.0,78.0,68.0,75.0,33.0,17.0,25.0,76.0,69.0,54.0
CHI,2,2015,2.0,46.0,-25,-23.0,-1,1,0,0,ARI,0.0,36.0,59.0,59.0,32.0,44.0,100.0,9.0,72.0,62.0,0.0,67.0,77.0,55.0,39.0,69.0,0,0,0,100.0,71.0,100.0,33.0,66.0,38.0,100.0,100.0,70.0,72.0,63.0,11.0,29.0,100.0,37.0,23.0,73.0,48.0,55.0,50.0,33.0,100.0,38.0,100.0,72.0,11.0
CIN,2,2015,-3.0,47.0,5,2.0,1,1,0,0,SDG,100.0,86.0,65.0,69.0,78.0,61.0,37.0,74.0,91.0,25.0,33.0,100.0,41.0,95.0,59.0,71.0,0,0,0,100.0,59.0,67.0,17.0,12.0,24.0,50.0,91.0,54.0,100.0,62.0,54.0,100.0,78.0,24.0,57.0,81.0,65.0,100.0,62.0,17.0,67.0,24.0,91.0,100.0,54.0
CLE,2,2015,2.0,41.0,14,16.0,1,1,0,0,TEN,0.0,12.0,59.0,46.0,44.0,100.0,73.0,20.0,47.0,100.0,0.0,50.0,28.0,43.0,41.0,72.0,0,0,0,100.0,100.0,67.0,67.0,37.0,40.0,74.0,78.0,100.0,30.0,79.0,72.0,59.0,73.0,71.0,23.0,62.0,81.0,60.0,38.0,67.0,67.0,40.0,78.0,30.0,72.0
DAL,2,2015,5.0,55.0,10,15.0,1,0,0,0,PHI,100.0,52.0,94.0,76.0,62.0,44.0,81.0,41.0,91.0,88.0,17.0,100.0,15.0,74.0,89.0,69.0,1,0,0,0.0,46.0,100.0,17.0,39.0,5.0,91.0,71.0,32.0,82.0,57.0,34.0,18.0,64.0,41.0,70.0,26.0,67.0,51.0,50.0,17.0,100.0,5.0,71.0,82.0,34.0
DEN,2,2015,3.0,42.0,7,10.0,1,0,1,0,KAN,100.0,61.0,94.0,3.0,100.0,69.0,62.0,92.0,63.0,38.0,33.0,33.0,9.0,89.0,17.0,100.0,1,1,0,100.0,62.0,67.0,83.0,10.0,24.0,38.0,75.0,67.0,46.0,63.0,31.0,82.0,42.0,46.0,41.0,22.0,81.0,32.0,25.0,83.0,67.0,24.0,75.0,46.0,31.0
DET,2,2015,2.0,43.5,-10,-8.0,-1,0,0,0,MIN,0.0,41.0,0.0,76.0,22.0,43.0,35.0,19.0,0.0,38.0,33.0,83.0,9.0,76.0,46.0,0.0,1,0,0,0.0,20.0,17.0,17.0,46.0,10.0,0.0,0.0,34.0,27.0,63.0,77.0,29.0,35.0,34.0,30.0,0.0,43.0,9.0,50.0,17.0,17.0,10.0,0.0,27.0,77.0
GNB,2,2015,-3.0,49.0,10,7.0,1,1,0,0,SEA,100.0,64.0,41.0,68.0,41.0,56.0,91.0,0.0,28.0,38.0,33.0,100.0,45.0,23.0,31.0,61.0,0,0,0,0.0,45.0,0.0,33.0,37.0,40.0,93.0,88.0,43.0,41.0,35.0,39.0,94.0,29.0,24.0,60.0,58.0,19.0,48.0,25.0,33.0,0.0,40.0,88.0,41.0,39.0
HOU,2,2015,3.0,39.5,-7,-4.0,-1,0,0,0,CAR,0.0,38.0,18.0,54.0,58.0,59.0,19.0,78.0,68.0,75.0,33.0,17.0,25.0,76.0,69.0,54.0,1,0,0,100.0,70.0,67.0,83.0,9.0,29.0,42.0,76.0,28.0,20.0,86.0,76.0,76.0,19.0,78.0,48.0,67.0,74.0,49.0,25.0,83.0,67.0,29.0,76.0,20.0,76.0
IND,2,2015,-7.0,46.5,-13,-20.0,-1,1,0,0,NYJ,0.0,27.0,47.0,32.0,29.0,9.0,79.0,49.0,40.0,88.0,0.0,67.0,6.0,47.0,49.0,67.0,0,0,0,100.0,88.0,100.0,50.0,49.0,57.0,68.0,72.0,48.0,28.0,68.0,59.0,41.0,56.0,54.0,0.0,80.0,27.0,53.0,0.0,50.0,100.0,57.0,72.0,28.0,59.0
JAX,2,2015,6.0,41.5,3,9.0,1,1,0,0,MIA,0.0,30.0,24.0,22.0,81.0,52.0,26.0,33.0,51.0,75.0,33.0,17.0,24.0,71.0,24.0,80.0,0,0,0,100.0,62.0,50.0,17.0,44.0,11.0,48.0,39.0,46.0,29.0,75.0,69.0,6.0,36.0,55.0,19.0,57.0,41.0,24.0,38.0,17.0,50.0,11.0,39.0,29.0,69.0
KAN,2,2015,-3.0,42.0,-7,-10.0,-1,1,1,0,DEN,100.0,62.0,82.0,42.0,46.0,41.0,22.0,81.0,32.0,25.0,83.0,67.0,24.0,75.0,46.0,31.0,0,1,0,100.0,61.0,33.0,33.0,2.0,9.0,85.0,89.0,18.0,17.0,100.0,100.0,94.0,3.0,100.0,69.0,62.0,92.0,63.0,38.0,33.0,33.0,9.0,89.0,17.0,100.0
MIA,2,2015,-6.0,41.5,-3,-9.0,-1,0,0,0,JAX,100.0,62.0,6.0,36.0,55.0,19.0,57.0,41.0,24.0,38.0,17.0,50.0,11.0,39.0,29.0,69.0,1,0,0,0.0,30.0,17.0,33.0,58.0,24.0,91.0,71.0,14.0,24.0,72.0,80.0,24.0,22.0,81.0,52.0,26.0,33.0,51.0,75.0,33.0,17.0,24.0,71.0,24.0,80.0
MIN,2,2015,-2.0,43.5,10,8.0,1,1,0,0,DET,0.0,20.0,29.0,35.0,34.0,30.0,0.0,43.0,9.0,50.0,17.0,17.0,10.0,0.0,27.0,77.0,0,0,0,0.0,41.0,83.0,33.0,50.0,9.0,88.0,76.0,38.0,46.0,46.0,0.0,0.0,76.0,22.0,43.0,35.0,19.0,0.0,38.0,33.0,83.0,9.0,76.0,46.0,0.0
NOR,2,2015,-10.0,47.5,-7,-17.0,-1,1,0,0,TAM,0.0,29.0,71.0,63.0,0.0,77.0,52.0,27.0,45.0,50.0,0.0,67.0,0.0,62.0,89.0,28.0,0,0,0,0.0,0.0,33.0,33.0,26.0,22.0,63.0,60.0,21.0,28.0,0.0,70.0,41.0,29.0,27.0,77.0,19.0,38.0,40.0,62.0,33.0,33.0,22.0,60.0,28.0,70.0
NWE,2,2015,-1.0,44.0,8,7.0,1,0,0,0,BUF,100.0,62.0,35.0,72.0,10.0,42.0,98.0,34.0,22.0,38.0,50.0,67.0,15.0,55.0,63.0,20.0,1,0,0,100.0,73.0,100.0,33.0,43.0,53.0,67.0,94.0,71.0,33.0,79.0,51.0,53.0,71.0,68.0,91.0,51.0,21.0,60.0,12.0,33.0,100.0,53.0,94.0,33.0,51.0
NYG,2,2015,-2.5,51.0,-4,-6.5,-1,1,0,0,ATL,0.0,48.0,6.0,38.0,24.0,56.0,59.0,19.0,9.0,12.0,0.0,83.0,26.0,85.0,31.0,11.0,0,0,0,100.0,54.0,83.0,0.0,9.0,29.0,61.0,95.0,43.0,66.0,68.0,18.0,82.0,59.0,36.0,30.0,33.0,74.0,49.0,50.0,0.0,83.0,29.0,95.0,66.0,18.0
