TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-11.3%,20,-12.0%,22,4-5,-21.3%,29,-12.8%,5,-2.8%,24
ATL,13.2%,8,12.4%,9,8-0,10.2%,8,-1.8%,16,1.2%,17
BAL,6.7%,11,5.0%,12,6-2,3.6%,16,4.4%,21,7.5%,3
BUF,-15.4%,27,-13.3%,25,3-5,-0.4%,17,21.3%,31,6.3%,4
CAR,0.8%,21,1.7%,15,2-6,-1.7%,18,-6.1%,9,-3.6%,26
CHI,30.9%,5,30.6%,6,7-1,-13.9%,25,-36.5%,1,8.3%,1
CIN,-14.9%,26,-12.4%,23,3-5,-2.2%,19,15.5%,28,2.8%,11
CLE,-24.6%,28,-24.1%,29,2-7,-22.0%,30,7.6%,23,5.0%,6
DAL,7.3%,14,6.3%,11,3-5,6.5%,11,-4.6%,13,-3.8%,27
DEN,33.0%,1,32.2%,4,5-3,19.0%,3,-12.0%,6,1.9%,15
DET,1.9%,15,1.6%,16,4-4,18.4%,5,8.4%,24,-8.0%,31
GB,32.3%,6,32.4%,3,6-3,20.4%,2,-9.1%,7,2.8%,12
HOU,20.7%,7,19.5%,8,7-1,8.8%,9,-21.0%,2,-9.1%,32
IND,-22.5%,29,-22.6%,28,5-3,4.3%,15,24.0%,32,-2.8%,23
JAC,-38.2%,30,-38.4%,30,1-7,-24.5%,31,12.7%,26,-1.0%,20
KC,-44.7%,32,-44.5%,32,1-7,-29.7%,32,14.6%,27,-0.3%,19
MIA,3.4%,10,4.0%,13,4-4,-7.6%,22,-5.4%,11,5.6%,5
MIN,1.4%,13,0.7%,17,5-4,-6.6%,21,-0.1%,18,7.9%,2
NE,35.4%,3,35.3%,2,5-3,31.4%,1,-0.6%,17,3.5%,8
NO,-6.8%,22,-6.3%,18,3-5,12.9%,7,21.0%,30,1.3%,16
NYG,27.5%,4,29.1%,7,6-3,17.8%,6,-7.6%,8,2.1%,14
NYJ,-7.3%,18,-8.0%,20,3-5,-16.2%,27,-5.1%,12,3.9%,7
OAK,-22.8%,24,-22.0%,27,3-5,-5.5%,20,11.9%,25,-5.4%,28
PHI,-15.8%,19,-16.3%,26,3-5,-16.1%,26,-3.8%,14,-3.5%,25
PIT,7.8%,12,9.8%,10,5-3,6.9%,10,1.8%,19,2.6%,13
SD,-13.0%,25,-13.0%,24,4-4,-13.6%,24,2.4%,20,3.0%,9
SEA,29.3%,9,30.6%,5,5-4,5.5%,14,-20.9%,3,2.9%,10
SF,37.6%,2,36.7%,1,6-2,18.9%,4,-18.6%,4,0.1%,18
STL,-9.3%,23,-9.8%,21,3-5,-10.8%,23,-3.3%,15,-1.8%,21
TB,4.4%,16,3.9%,14,4-4,5.5%,13,-5.6%,10,-6.7%,30
TEN,-39.1%,31,-39.0%,31,3-6,-18.4%,28,18.2%,29,-2.5%,22
WAS,-7.6%,17,-7.3%,19,3-6,5.8%,12,6.9%,22,-6.5%,29
