TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,13.2%,11,7.2%,11,5-2,7.3%,10,-5.4%,10,0.5%,15
ATL,-10.8%,24,-4.0%,19,2-6,-3.3%,23,6.9%,22,-0.7%,18
BAL,27.8%,2,20.3%,3,5-2,-1.0%,20,-16.5%,5,12.3%,1
BUF,2.1%,14,3.4%,13,6-2,8.0%,8,7.3%,23,1.4%,11
CAR,-1.4%,16,-6.5%,21,3-5,6.7%,12,8.2%,25,0.1%,17
CHI,-3.7%,17,-2.9%,18,5-3,-17.0%,27,-14.8%,6,-1.5%,21
CIN,-22.2%,30,-18.5%,30,2-5-1,-13.3%,25,11.1%,30,2.2%,9
CLE,-9.9%,22,-6.5%,22,5-3,1.0%,17,5.2%,19,-5.7%,29
DAL,-23.5%,31,-17.2%,29,2-6,-15.7%,26,8.2%,24,0.3%,16
DEN,-18.7%,27,-13.6%,28,3-4,-21.2%,30,-6.9%,7,-4.4%,26
DET,-2.2%,15,0.0%,14,3-4,0.8%,18,4.4%,17,1.3%,12
GB,14.8%,10,8.7%,9,5-2,22.9%,2,9.8%,29,1.7%,10
HOU,-7.3%,20,-4.5%,20,1-6,3.2%,15,9.7%,28,-0.8%,19
IND,23.6%,5,16.7%,6,5-2,-1.4%,22,-19.6%,3,5.3%,4
JAX,-25.3%,28,-19.0%,31,1-6,-0.7%,19,19.9%,32,-4.7%,27
KC,26.6%,4,24.9%,2,7-1,24.6%,1,-3.5%,13,-1.6%,23
LAC,-4.1%,19,-2.6%,17,2-5,7.1%,11,1.5%,15,-9.7%,32
LAR,13.5%,7,11.1%,8,5-3,14.3%,5,-6.4%,9,-7.3%,30
LV,-12.3%,23,-8.2%,24,4-3,4.7%,13,15.1%,31,-1.8%,24
MIA,14.1%,13,-1.3%,15,4-3,-1.0%,21,-4.7%,11,10.5%,2
MIN,-1.2%,18,-1.3%,16,2-5,3.1%,16,2.9%,16,-1.5%,22
NE,-18.7%,26,-11.1%,25,2-5,-12.5%,24,9.3%,27,3.1%,8
NO,20.4%,6,18.3%,5,5-2,9.3%,7,-6.4%,8,4.7%,5
NYG,-18.9%,29,-12.5%,26,1-7,-18.6%,28,4.9%,18,4.7%,6
NYJ,-45.2%,32,-30.5%,32,0-8,-31.5%,32,8.5%,26,-5.1%,28
PHI,-19.1%,25,-7.2%,23,3-4-1,-20.5%,29,-2.4%,14,-1.0%,20
PIT,30.2%,3,19.9%,4,7-0,3.8%,14,-21.8%,2,4.6%,7
SEA,22.8%,9,15.9%,7,6-1,22.7%,3,5.9%,21,6.1%,3
SF,12.2%,8,6.6%,12,4-4,7.7%,9,-3.7%,12,0.8%,14
TB,39.3%,1,26.6%,1,6-2,13.1%,6,-25.4%,1,0.8%,13
TEN,8.3%,12,7.3%,10,5-2,21.8%,4,5.9%,20,-7.7%,31
WAS,-8.6%,21,-13.5%,27,2-5,-22.3%,31,-17.0%,4,-3.3%,25
