Game,EGO,Spread,Spread Target,Pick
BUF @ NYJ,-4.64,2.5,"[3.0, 1.0]",NYJ
CHI @ STL,-7.49,6.5,"[6.0, 4.0]",
CAR @ TEN,6.67,-4.0,"[-3.0, -5.0]",CAR
CLE @ PIT,-9.31,6.0,"[8.0, 5.5]",PIT
DET @ GB,-12.67,10.5,"[11.0, 9.0]",GB
DAL @ TB,-2.71,1.0,"[1.0, -1.0]",TB
JAC @ BAL,-3.38,5.0,"[7.0, 5.0]",JAC
MIA @ PHI,-7.15,6.0,"[5.5, 3.5]",
NO @ WAS,-2.92,-1.0,"[1.5, -1.0]",WAS
MIN @ OAK,-7.74,3.0,"[6.0, 4.0]",
KC @ DEN,-3.2,4.5,"[7.0, 4.5]",KC
NE @ NYG,6.6,-7.5,"[-8.0, -10.5]",
ARI @ SEA,2.05,3.0,"[1.5, -0.5]",
HOU @ CIN,-13.01,10.5,"[11.5, 9.5]",CIN
