Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.0 / -3.0,ATL,STL,-,+3.0 / -3.0
+6.5 / -6.5,BUF,WAS,-,+6.5 / -6.5
+7.0 / -7.0,CIN,PIT,-,+7.0 / -7.0
+0.0 / -0.0,CLE,ARI,-,+0.0 / -0.0
-3.0 / 3.0,DEN,OAK,-,-3.0 / 3.0
+4.5 / -4.5,DET,MIN,-,+4.5 / -4.5
+6.5 / -6.5,GNB,DAL,-,+6.5 / -6.5
+3.5 / -3.5,HOU,TEN,-,+3.5 / -3.5
+7.0 / -7.0,JAX,IND,-,+7.0 / -7.0
-18.5 / 18.5,NWE,BAL,-,-18.5 / 18.5
-1.0 / 1.0,NYG,CHI,-,-1.0 / 1.0
+1.0 / -1.0,NYJ,MIA,-,+1.0 / -1.0
-6.0 / 6.0,SDG,KAN,-,-6.0 / 6.0
+3.0 / -3.0,SEA,PHI,-,+3.0 / -3.0
+3.0 / -3.0,SFO,CAR,-,+3.0 / -3.0
+3.0 / -3.0,TAM,NOR,-,+3.0 / -3.0
