TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-7.4%,17,-10.1%,20,5-6,-1.6%,19,2.4%,17,-3.4%,24
ATL,-22.5%,28,-22.3%,28,3-8,-14.2%,25,6.5%,21,-1.8%,18
BAL,-13.0%,23,-15.1%,25,4-7,-21.1%,29,-11.6%,4,-3.4%,23
BUF,-7.8%,19,-5.1%,17,5-6,-7.5%,23,5.5%,19,5.2%,8
CAR,-31.5%,29,-32.2%,30,4-7,-17.3%,27,7.2%,22,-7.0%,32
CHI,-13.2%,26,-10.7%,21,5-6,-21.8%,30,1.0%,15,9.6%,1
CIN,3.5%,18,3.4%,15,4-7,16.0%,5,12.3%,27,-0.2%,14
CLE,6.2%,13,9.1%,11,7-4,13.8%,7,15.4%,30,7.9%,2
DAL,39.3%,2,38.6%,2,10-1,29.0%,2,-10.5%,6,-0.2%,15
DEN,-3.7%,16,-4.5%,16,5-6,8.5%,10,8.8%,23,-3.4%,25
DET,-12.0%,22,-11.9%,23,6-5,-1.2%,17,5.7%,20,-5.1%,30
GB,29.5%,4,30.2%,4,10-1,22.7%,4,-4.4%,12,2.5%,11
HOU,-10.8%,21,-12.3%,24,5-6,-1.5%,18,10.7%,25,1.5%,13
IND,33.6%,3,30.6%,3,9-2,25.2%,3,-14.1%,3,-5.7%,31
JAC,14.0%,8,15.3%,8,8-3,12.5%,9,2.8%,18,4.4%,9
KC,-12.2%,20,-11.9%,22,4-7,-18.8%,28,-9.9%,7,-3.3%,22
MIA,-16.2%,25,-15.3%,26,0-11,-1.7%,20,11.9%,26,-2.6%,21
MIN,9.6%,14,10.3%,10,5-6,3.6%,13,-3.4%,13,2.6%,10
NE,71.3%,1,71.1%,1,11-0,49.9%,1,-15.9%,2,5.5%,4
NO,-11.3%,24,-7.3%,18,5-6,5.2%,12,12.9%,29,-3.6%,26
NYG,7.6%,9,8.2%,12,7-4,2.5%,15,-7.2%,9,-2.1%,19
NYJ,-22.0%,27,-19.9%,27,2-9,-6.0%,22,21.4%,32,5.4%,5
OAK,-28.7%,31,-29.0%,29,3-8,-14.5%,26,12.6%,28,-1.6%,17
PHI,7.5%,12,5.2%,14,5-6,14.9%,6,2.3%,16,-5.1%,29
PIT,24.5%,5,22.5%,5,8-3,3.3%,14,-23.7%,1,-2.5%,20
SD,15.4%,7,17.6%,7,6-5,5.7%,11,-2.0%,14,7.6%,3
SEA,13.3%,10,12.1%,9,7-4,0.9%,16,-6.9%,10,5.4%,6
SF,-42.5%,32,-42.2%,32,3-8,-31.3%,32,16.6%,31,5.4%,7
STL,-36.6%,30,-34.5%,31,2-9,-22.8%,31,10.1%,24,-3.7%,27
TB,19.5%,6,18.3%,6,7-4,13.0%,8,-8.1%,8,-1.6%,16
TEN,-5.8%,15,-9.1%,19,6-5,-12.9%,24,-11.3%,5,-4.2%,28
WAS,6.2%,11,6.3%,13,5-6,-2.0%,21,-6.4%,11,1.8%,12
