Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+2.5 / -2.5,ARI,STL,-,+2.5 / -2.5
+9.5 / -9.5,BUF,NYJ,-,+9.5 / -9.5
-3.5 / 3.5,CAR,IND,-,-3.5 / 3.5
+3.0 / -3.0,CHI,OAK,-,+3.0 / -3.0
+7.0 / -7.0,CLE,CIN,-,+7.0 / -7.0
+5.5 / -5.5,DEN,SDG,-,+5.5 / -5.5
-4.5 / 4.5,GNB,DET,-,-4.5 / 4.5
-6.5 / 6.5,HOU,JAX,-,-6.5 / 6.5
+7.0 / -7.0,MIA,DAL,-,+7.0 / -7.0
+10.0 / -10.0,MIN,ATL,-,+10.0 / -10.0
-3.5 / 3.5,NWE,PHI,-,-3.5 / 3.5
+7.0 / -7.0,NYG,NOR,-,+7.0 / -7.0
-10.5 / 10.5,PIT,KAN,-,-10.5 / 10.5
+3.5 / -3.5,SFO,BAL,-,+3.5 / -3.5
+3.0 / -3.0,TAM,TEN,-,+3.0 / -3.0
+3.0 / -3.0,WAS,SEA,-,+3.0 / -3.0
