Game,EGO,Spread,Spread Target,Pick
GB @ DET,1.3,-4.5,"[-3.0, -5.0]",DET
MIA @ DAL,-4.62,7.0,"[8.5, 6.0]",MIA
SF @ BAL,-0.41,3.5,"[4.0, 2.0]",SF
ARI @ STL,0.07,2.5,"[3.5, 1.5]",ARI
BUF @ NYJ,-9.4,9.5,"[13.0, 11.0]",
CLE @ CIN,-6.64,7.0,"[10.5, 8.0]",
MIN @ ATL,-9.6,10.0,"[13.5, 11.0]",
TB @ TEN,-5.22,3.0,"[3.5, 1.5]",TEN
CAR @ IND,4.46,-3.5,"[-1.0, -3.0]",
HOU @ JAC,8.96,-6.5,"[-5.5, -7.5]",HOU
CHI @ OAK,3.41,3.0,"[0.5, -2.0]",
WAS @ SEA,-2.75,3.0,"[6.5, 4.0]",
DEN @ SD,-0.64,5.5,"[4.5, 2.0]",
NE @ PHI,0.34,-3.5,"[-2.0, -4.0]",PHI
PIT @ KC,8.2,-10.5,"[-9.5, -12.0]",KC
NYG @ NO,-0.88,7.0,"[4.5, 2.5]",
