Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,STL,12,Sun,November 27,1:00PM,0,boxscore,23,20,374,3,272,2,-24.6%,2.5
ATL,MIN,12,Sun,November 27,1:02PM,1,boxscore,24,14,335,1,226,0,16.5%,-10.0
BAL,SF,12,Thu,November 24,8:29PM,1,boxscore,16,6,253,0,170,1,15.3%,-3.5
BUF,NYJ,12,Sun,November 27,1:02PM,0,boxscore,24,28,318,2,336,0,-11.5%,9.5
CAR,IND,12,Sun,November 27,1:03PM,0,boxscore,27,19,377,1,323,2,-16.8%,-3.5
CHI,OAK,12,Sun,November 27,4:05PM,0,boxscore,20,25,341,1,401,3,22.2%,3.0
CIN,CLE,12,Sun,November 27,1:02PM,1,boxscore,23,20,389,1,274,1,6.6%,-7.0
CLE,CIN,12,Sun,November 27,1:02PM,0,boxscore,20,23,389,1,274,1,-13.9%,7.0
DAL,MIA,12,Thu,November 24,4:16PM,1,boxscore,20,19,303,2,352,1,12.3%,-7.0
DEN,SD,12,Sun,November 27,4:15PM,0,boxscore,16,13,349,0,344,0,-4.4%,5.5
DET,GB,12,Thu,November 24,12:35PM,1,boxscore,15,27,349,0,409,3,10.9%,4.5
GB,DET,12,Thu,November 24,12:35PM,0,boxscore,27,15,349,0,409,3,26.8%,-4.5
HOU,JAC,12,Sun,November 27,1:03PM,0,boxscore,20,13,215,1,255,1,35.9%,-6.5
IND,CAR,12,Sun,November 27,1:03PM,1,boxscore,19,27,377,1,323,2,-46.6%,3.5
JAC,HOU,12,Sun,November 27,1:03PM,1,boxscore,13,20,215,1,255,1,-13.2%,6.5
KC,PIT,12,Sun,November 27,8:31PM,1,boxscore,9,13,290,2,252,4,-23.7%,10.5
MIA,DAL,12,Thu,November 24,4:16PM,0,boxscore,19,20,303,2,352,1,1.3%,7.0
MIN,ATL,12,Sun,November 27,1:02PM,0,boxscore,14,24,335,1,226,0,-18.1%,10.0
NE,PHI,12,Sun,November 27,4:15PM,0,boxscore,38,20,457,0,466,1,24.3%,-3.5
NO,NYG,12,Mon,November 28,8:40PM,1,boxscore,49,24,577,0,465,2,12.6%,-7.0
NYG,NO,12,Mon,November 28,8:40PM,0,boxscore,24,49,577,0,465,2,18.7%,7.0
NYJ,BUF,12,Sun,November 27,1:02PM,1,boxscore,28,24,318,2,336,0,22.1%,-9.5
OAK,CHI,12,Sun,November 27,4:05PM,1,boxscore,25,20,341,1,401,3,-3.0%,-3.0
PHI,NE,12,Sun,November 27,4:15PM,1,boxscore,20,38,457,0,466,1,12.7%,3.5
PIT,KC,12,Sun,November 27,8:31PM,0,boxscore,13,9,290,2,252,4,22.2%,-10.5
SD,DEN,12,Sun,November 27,4:15PM,1,boxscore,13,16,349,0,344,0,-11.6%,-5.5
SEA,WAS,12,Sun,November 27,4:07PM,1,boxscore,17,23,416,2,250,1,-11.6%,-3.0
SF,BAL,12,Thu,November 24,8:29PM,0,boxscore,6,16,253,0,170,1,23.5%,3.5
STL,ARI,12,Sun,November 27,1:00PM,1,boxscore,20,23,374,3,272,2,-35.0%,-2.5
TB,TEN,12,Sun,November 27,1:02PM,0,boxscore,17,23,352,4,308,5,-8.8%,3.0
TEN,TB,12,Sun,November 27,1:02PM,1,boxscore,23,17,352,4,308,5,5.0%,-3.0
WAS,SEA,12,Sun,November 27,4:07PM,0,boxscore,23,17,416,2,250,1,-14.0%,3.0
