TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-24.2%,29,-24.6%,30,3-7,-14.4%,28,13.7%,28,3.9%,4
ATL,15.8%,11,16.5%,9,6-4,7.9%,11,-6.5%,8,1.4%,11
BAL,16.1%,6,15.3%,10,7-3,2.7%,20,-18.3%,1,-5.0%,29
BUF,-6.1%,17,-11.5%,21,5-5,7.3%,12,11.6%,26,-1.8%,26
CAR,-17.0%,25,-16.8%,27,2-8,15.0%,7,25.1%,32,-6.9%,31
CHI,19.6%,9,22.2%,6,7-3,-0.9%,22,-9.9%,6,10.6%,1
CIN,6.6%,16,6.6%,15,6-4,7.3%,13,3.6%,16,2.9%,6
CLE,-14.6%,28,-13.9%,25,4-6,-7.3%,25,6.8%,19,-0.5%,20
DAL,11.8%,10,12.3%,13,6-4,13.2%,8,-0.3%,12,-1.7%,25
DEN,-6.1%,22,-4.4%,19,5-5,-2.2%,23,6.3%,18,2.3%,9
DET,10.9%,14,10.9%,14,7-3,5.1%,17,-12.1%,4,-6.3%,30
GB,27.6%,2,26.8%,2,10-0,37.9%,1,12.6%,27,2.3%,10
HOU,33.9%,1,35.9%,1,7-3,24.8%,3,-8.8%,7,0.3%,16
IND,-43.7%,32,-46.6%,32,0-10,-16.4%,29,20.3%,31,-7.0%,32
JAC,-15.1%,27,-13.2%,24,3-7,-23.6%,32,-10.0%,5,-1.5%,23
KC,-26.6%,30,-23.7%,29,4-6,-16.6%,30,10.6%,24,0.6%,14
MIA,0.0%,19,1.3%,17,3-7,3.1%,18,3.1%,15,0.0%,18
MIN,-16.0%,20,-18.1%,28,2-8,-3.5%,24,9.2%,21,-3.3%,28
NE,24.1%,4,24.3%,3,7-3,31.1%,2,9.4%,22,2.3%,8
NO,14.5%,12,12.6%,12,7-3,24.8%,4,9.6%,23,-0.7%,21
NYG,18.1%,8,18.7%,8,6-4,16.8%,6,-1.0%,10,0.4%,15
NYJ,22.6%,3,22.1%,7,5-5,1.7%,21,-16.0%,2,4.9%,3
OAK,-1.3%,18,-3.0%,18,6-4,6.6%,14,6.9%,20,-1.0%,22
PHI,10.8%,15,12.7%,11,4-6,12.4%,9,2.8%,14,1.3%,12
PIT,19.4%,7,22.2%,5,7-3,18.1%,5,-0.5%,11,0.8%,13
SD,-11.7%,21,-11.6%,22,4-6,6.0%,16,15.4%,29,-2.4%,27
SEA,-13.9%,24,-11.6%,23,4-6,-13.1%,26,0.4%,13,-0.4%,19
SF,23.3%,5,23.5%,4,9-1,2.8%,19,-12.3%,3,8.2%,2
STL,-36.0%,31,-35.0%,31,2-8,-23.4%,31,11.0%,25,-1.5%,24
TB,-6.7%,23,-8.8%,20,4-6,6.3%,15,16.3%,30,3.3%,5
TEN,7.5%,13,5.0%,16,5-5,10.4%,10,5.5%,17,2.7%,7
WAS,-11.5%,26,-14.0%,26,3-7,-13.9%,27,-2.3%,9,0.1%,17
