Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
GNB,2,2012,-5.5,51.0,13,7.5,1,1,1,0,CHI,0.0,37.0,37.0,43.0,38.0,57.0,55.0,88.0,39.0,62.0,80.0,40.0,19.0,5.0,71.0,66.0,0,1,0,100.0,82.0,60.0,60.0,40.0,56.0,49.0,71.0,70.0,86.0,65.0,23.0,79.0,63.0,48.0,69.0,32.0,92.0,65.0,0.0,60.0,60.0,56.0,71.0,86.0,23.0
HOU,2,2012,-7.0,40.0,20,13.0,1,0,0,0,JAX,100.0,82.0,74.0,35.0,71.0,21.0,46.0,92.0,63.0,0.0,40.0,60.0,39.0,64.0,61.0,63.0,1,0,0,0.0,45.0,60.0,40.0,38.0,56.0,48.0,39.0,68.0,56.0,26.0,34.0,89.0,29.0,22.0,35.0,62.0,92.0,43.0,50.0,40.0,60.0,56.0,39.0,56.0,34.0
IND,2,2012,3.0,45.5,3,6.0,1,1,0,0,MIN,0.0,18.0,21.0,52.0,37.0,31.0,8.0,68.0,35.0,100.0,40.0,40.0,29.0,44.0,77.0,14.0,0,0,0,100.0,55.0,60.0,40.0,52.0,61.0,62.0,44.0,74.0,66.0,32.0,44.0,37.0,78.0,71.0,65.0,8.0,38.0,57.0,50.0,40.0,60.0,61.0,44.0,66.0,44.0
JAX,2,2012,7.0,40.0,-20,-13.0,-1,1,0,0,HOU,0.0,45.0,89.0,29.0,22.0,35.0,62.0,92.0,43.0,50.0,40.0,60.0,56.0,39.0,56.0,34.0,0,0,0,100.0,82.0,60.0,40.0,24.0,39.0,55.0,64.0,72.0,61.0,75.0,63.0,74.0,35.0,71.0,21.0,46.0,92.0,63.0,0.0,40.0,60.0,39.0,64.0,61.0,63.0
KAN,2,2012,3.0,45.0,-18,-15.0,-1,0,0,0,BUF,0.0,24.0,58.0,53.0,19.0,59.0,95.0,38.0,53.0,88.0,20.0,40.0,77.0,60.0,55.0,23.0,1,0,0,0.0,18.0,100.0,0.0,100.0,100.0,63.0,42.0,46.0,36.0,12.0,34.0,42.0,78.0,37.0,50.0,92.0,0.0,51.0,88.0,0.0,100.0,100.0,42.0,36.0,34.0
MIA,2,2012,2.0,41.0,22,24.0,1,1,0,0,OAK,0.0,18.0,26.0,29.0,65.0,79.0,8.0,54.0,37.0,100.0,40.0,60.0,36.0,61.0,37.0,39.0,0,0,0,0.0,37.0,40.0,20.0,22.0,19.0,88.0,88.0,66.0,70.0,28.0,51.0,47.0,27.0,70.0,21.0,32.0,59.0,63.0,62.0,20.0,40.0,19.0,88.0,70.0,51.0
MIN,2,2012,-3.0,45.5,-3,-6.0,-1,0,0,0,IND,100.0,55.0,37.0,78.0,71.0,65.0,8.0,38.0,57.0,50.0,40.0,60.0,61.0,44.0,66.0,44.0,1,0,0,0.0,18.0,40.0,40.0,51.0,29.0,60.0,44.0,35.0,77.0,30.0,14.0,21.0,52.0,37.0,31.0,8.0,68.0,35.0,100.0,40.0,40.0,29.0,44.0,77.0,14.0
NOR,2,2012,-3.0,54.0,-8,-11.0,-1,0,0,0,CAR,0.0,37.0,0.0,50.0,28.0,37.0,5.0,80.0,29.0,88.0,40.0,60.0,12.0,23.0,91.0,17.0,1,0,0,0.0,40.0,40.0,40.0,0.0,0.0,58.0,35.0,58.0,77.0,33.0,93.0,11.0,64.0,85.0,70.0,8.0,64.0,59.0,75.0,40.0,40.0,0.0,35.0,77.0,93.0
NWE,2,2012,-13.5,47.0,-2,-15.5,-1,1,0,0,ARI,100.0,84.0,58.0,56.0,73.0,43.0,62.0,64.0,72.0,25.0,40.0,80.0,82.0,95.0,50.0,35.0,0,0,0,100.0,56.0,80.0,60.0,21.0,18.0,60.0,43.0,49.0,42.0,57.0,88.0,32.0,22.0,98.0,58.0,26.0,72.0,50.0,50.0,60.0,80.0,18.0,43.0,42.0,88.0
NYG,2,2012,-8.0,43.5,7,-1.0,-1,1,0,0,TAM,0.0,39.0,26.0,35.0,0.0,15.0,32.0,56.0,17.0,50.0,40.0,40.0,39.0,28.0,32.0,24.0,0,0,0,100.0,60.0,60.0,60.0,42.0,65.0,100.0,100.0,67.0,7.0,42.0,23.0,89.0,15.0,36.0,30.0,36.0,92.0,41.0,25.0,60.0,60.0,65.0,100.0,7.0,23.0
