Game,EGO,Spread,Spread Target,Pick
OAK @ KC,-12.32,9.0,"[11.0, 8.5]",KC
TEN @ PHI,-16.37,13.0,"[15.0, 12.5]",PHI
ATL @ BAL,-9.31,3.5,"[8.0, 5.5]",
CIN @ NO,-4.05,3.0,"[2.5, 0.5]",
NE @ GB,3.02,-6.0,"[-4.5, -6.5]",GB
STL @ CAR,-1.19,6.5,"[5.0, 2.5]",
BUF @ HOU,0.43,2.5,"[3.5, 1.0]",BUF
MIN @ MIA,-0.64,3.0,"[4.5, 2.0]",MIN
PIT @ CLE,3.15,-4.0,"[-4.5, -7.0]",
WAS @ TB,1.73,3.0,"[2.0, -0.0]",
CHI @ NYJ,9.85,-5.5,"[-6.0, -8.5]",
DET @ ARI,1.71,2.5,"[2.0, -0.0]",
SEA @ SF,2.16,-3.0,"[-3.5, -6.0]",
IND @ DAL,-1.65,-1.0,"[0.0, -2.0]",DAL
SD @ DEN,0.94,2.5,"[3.0, 0.5]",SD
NYG @ JAC,-0.06,3.5,"[4.0, 1.5]",NYG
