Game,EGO,Spread,Spread Target,Pick
TEN @ PIT,-9.29,7.0,"[8.0, 5.5]",PIT
ARI @ HOU,-6.62,2.5,"[5.0, 3.0]",
BAL @ GB,-3.25,-2.5,"[2.0, -0.5]",
DET @ CHI,3.95,-3.0,"[-0.0, -2.5]",
JAC @ CLE,9.18,-7.5,"[-5.5, -7.5]",JAC
KC @ NYG,6.14,-10.0,"[-7.5, -10.0]",NYG
LARM @ MIN,0.94,1.0,"[3.0, 0.5]",LARM
TB @ MIA,1.6,-1.0,"[2.0, -0.0]",
WAS @ NO,-8.77,9.5,"[12.5, 10.5]",
BUF @ LACH,-3.34,7.0,"[7.0, 5.0]",BUF
CIN @ DEN,0.67,2.5,"[3.0, 1.0]",CIN
NE @ OAK,3.5,-7.0,"[-5.0, -7.0]",OAK
PHI @ DAL,1.98,-6.0,"[-3.5, -5.5]",
ATL @ SEA,-4.64,-1.0,"[3.0, 1.0]",
