Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+2.5 / -2.5,ARI,HOU,-,+2.5 / -2.5
-1.0 / 1.0,ATL,SEA,-,-1.0 / 1.0
-2.5 / 2.5,BAL,GNB,-,-2.5 / 2.5
+7.0 / -7.0,BUF,LAC,-,+7.0 / -7.0
+2.5 / -2.5,CIN,DEN,-,+2.5 / -2.5
-3.0 / 3.0,DET,CHI,-,-3.0 / 3.0
-7.5 / 7.5,JAX,CLE,-,-7.5 / 7.5
-10.0 / 10.0,KAN,NYG,-,-10.0 / 10.0
+1.0 / -1.0,LAR,MIN,-,+1.0 / -1.0
-7.0 / 7.0,NWE,OAK,-,-7.0 / 7.0
-6.0 / 6.0,PHI,DAL,-,-6.0 / 6.0
-1.0 / 1.0,TAM,MIA,-,-1.0 / 1.0
+7.0 / -7.0,TEN,PIT,-,+7.0 / -7.0
+9.5 / -9.5,WAS,NOR,-,+9.5 / -9.5
