TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-18.7%,27,-18.0%,25,4-5,-12.7%,23,-2.1%,17,-8.0%,29
ATL,2.6%,19,1.4%,17,5-4,10.2%,10,7.7%,24,0.0%,18
BAL,8.4%,10,5.8%,14,4-5,-15.8%,27,-17.3%,3,6.9%,3
BUF,-6.6%,17,-8.3%,22,5-4,-8.6%,22,2.7%,20,4.6%,7
CAR,13.6%,14,13.0%,8,7-3,-1.6%,20,-11.7%,6,3.5%,11
CHI,-18.4%,26,-16.8%,23,3-6,-19.1%,30,-7.3%,10,-6.6%,28
CIN,-8.9%,23,-7.6%,19,3-6,-13.5%,24,-5.0%,16,-0.4%,20
CLE,-32.2%,32,-30.6%,31,0-9,-23.2%,32,3.1%,21,-5.8%,27
DAL,9.0%,8,11.4%,10,5-4,12.1%,8,6.8%,22,3.7%,10
DEN,-17.6%,22,-20.7%,27,3-6,-14.5%,25,-6.9%,12,-9.9%,32
DET,12.5%,11,10.8%,11,5-4,-1.7%,21,-6.9%,11,7.3%,2
GB,10.4%,15,10.5%,13,5-4,11.9%,9,1.9%,18,0.4%,15
HOU,2.2%,12,2.4%,16,3-6,-0.7%,17,-5.1%,15,-2.2%,22
IND,-28.1%,30,-25.4%,29,3-7,-22.1%,31,9.9%,25,3.9%,9
JAC,17.9%,4,19.4%,6,6-3,4.8%,12,-18.2%,2,-5.2%,26
KC,14.8%,7,10.6%,12,6-3,19.7%,3,11.7%,26,6.7%,4
LACH,-4.0%,21,-3.2%,18,3-6,0.2%,15,-5.3%,14,-9.5%,31
LARM,37.1%,1,38.4%,1,7-2,10.1%,11,-19.1%,1,7.8%,1
MIA,-35.2%,31,-35.9%,32,4-5,-14.6%,26,20.6%,31,0.1%,17
MIN,24.1%,6,24.1%,5,7-2,13.1%,7,-8.9%,9,2.1%,14
NE,16.1%,13,17.7%,7,7-2,30.3%,1,20.4%,30,6.1%,5
NO,32.1%,5,35.5%,2,7-2,22.1%,2,-13.3%,5,-3.4%,25
NYG,-26.9%,28,-26.5%,30,1-8,-1.2%,18,16.7%,29,-9.0%,30
NYJ,-20.2%,24,-17.4%,24,4-6,-18.1%,29,2.5%,19,0.4%,16
OAK,-6.5%,20,-7.9%,21,4-5,15.0%,4,24.0%,32,2.5%,12
PHI,29.0%,3,30.3%,3,8-1,13.9%,5,-9.6%,8,5.5%,6
PIT,26.8%,2,25.3%,4,7-2,13.1%,6,-15.6%,4,-1.9%,21
SEA,10.9%,9,12.5%,9,6-3,0.9%,14,-10.3%,7,-0.3%,19
SF,-24.6%,29,-24.2%,28,1-9,-16.4%,28,12.2%,27,4.0%,8
TB,-17.1%,25,-18.7%,26,3-6,-1.6%,19,13.1%,28,-2.4%,23
TEN,-5.2%,18,-7.8%,20,6-3,-0.2%,16,7.2%,23,2.2%,13
WAS,6.5%,16,4.9%,15,4-5,4.4%,13,-5.4%,13,-3.2%,24
