Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2017,ARI,HOU,11,Sun,1:00PM,0,-18.0%,2.5,-10,-7.5,-20.4,-6.62,-4.12,-3.38,"[[10.5, 8.0], [5.0, 3.0]]",0,,1
2017,ATL,SEA,11,Mon,8:30PM,0,1.4%,-1.0,3,2.0,-11.1,-4.64,-5.64,7.64,"[[8.5, 6.0], [3.0, 1.0]]",0,,0
2017,BAL,GB,11,Sun,1:00PM,0,5.8%,-2.5,23,20.5,-4.7,-3.25,-5.75,26.25,"[[7.0, 5.0], [2.0, -0.5]]",0,,0
2017,BUF,LACH,11,Sun,4:05PM,0,-8.3%,7.0,-30,-23.0,-5.1000000000000005,-3.34,3.66,-26.66,"[[7.0, 5.0], [2.0, -0.5]]",1,BUF,0
2017,CHI,DET,11,Sun,1:00PM,1,-16.8%,3.0,-3,0.0,-27.6,-3.95,-0.9500000000000002,0.9500000000000002,"[[7.5, 5.5], [2.5, 0.0]]",0,,1
2017,CIN,DEN,11,Sun,4:25PM,0,-7.6%,2.5,3,5.5,13.1,0.67,3.17,2.33,"[[3.0, 1.0], [-2.0, -4.5]]",1,CIN,1
2017,CLE,JAC,11,Sun,1:00PM,1,-30.6%,7.5,-12,-4.5,-50.0,-9.18,-1.6799999999999997,-2.8200000000000003,"[[13.0, 10.5], [7.5, 5.5]]",1,JAC,1
2017,DAL,PHI,11,Sun,8:30PM,1,11.4%,6.0,-28,-22.0,-18.9,-1.98,4.02,-26.02,"[[5.5, 3.5], [0.5, -1.5]]",0,,0
2017,DEN,CIN,11,Sun,4:25PM,1,-20.7%,-2.5,-3,-5.5,-13.1,-0.67,-3.17,-2.33,"[[4.5, 2.0], [-1.0, -3.0]]",1,CIN,1
2017,DET,CHI,11,Sun,1:00PM,0,10.8%,-3.0,3,0.0,27.6,3.95,0.9500000000000002,-0.9500000000000002,"[[-0.0, -2.5], [-5.5, -7.5]]",0,,1
2017,GB,BAL,11,Sun,1:00PM,1,10.5%,2.5,-23,-20.5,4.7,3.25,5.75,-26.25,"[[0.5, -2.0], [-5.0, -7.0]]",0,,0
2017,HOU,ARI,11,Sun,1:00PM,1,2.4%,-2.5,10,7.5,20.4,6.62,4.12,3.38,"[[-3.0, -5.0], [-8.0, -10.5]]",0,,1
2017,JAC,CLE,11,Sun,1:00PM,0,19.4%,-7.5,12,4.5,50.0,9.18,1.6799999999999997,2.8200000000000003,"[[-5.5, -7.5], [-10.5, -13.0]]",1,JAC,1
2017,KC,NYG,11,Sun,1:00PM,0,10.6%,-10.0,-3,-13.0,37.1,6.14,-3.8600000000000003,-9.14,"[[-2.5, -4.5], [-7.5, -10.0]]",1,NYG,1
2017,LACH,BUF,11,Sun,4:05PM,1,-3.2%,-7.0,30,23.0,5.1000000000000005,3.34,-3.66,26.66,"[[0.5, -2.0], [-5.0, -7.0]]",1,BUF,0
2017,LARM,MIN,11,Sun,1:00PM,0,38.4%,1.0,-17,-16.0,14.299999999999997,0.94,1.94,-17.94,"[[3.0, 0.5], [-2.5, -4.5]]",1,LARM,0
2017,MIA,TB,11,Sun,1:00PM,1,-35.9%,1.0,-10,-9.0,-17.2,-1.6,-0.6000000000000001,-8.4,"[[5.5, 3.0], [0.0, -2.0]]",0,,1
2017,MIN,LARM,11,Sun,1:00PM,1,24.1%,-1.0,17,16.0,-14.299999999999997,-0.94,-1.94,17.94,"[[4.5, 2.5], [-0.5, -3.0]]",1,LARM,0
2017,NE,OAK,11,Sun,4:25PM,0,17.7%,-7.0,25,18.0,25.6,3.5,-3.5,21.5,"[[0.0, -2.0], [-5.0, -7.0]]",1,OAK,0
2017,NO,WAS,11,Sun,1:00PM,1,35.5%,-9.5,3,-6.5,30.6,8.77,-0.7300000000000004,-5.77,"[[-5.0, -7.5], [-10.5, -12.5]]",0,,1
2017,NYG,KC,11,Sun,1:00PM,1,-26.5%,10.0,3,13.0,-37.1,-6.14,3.8600000000000003,9.14,"[[10.0, 7.5], [4.5, 2.5]]",1,NYG,1
2017,OAK,NE,11,Sun,4:25PM,1,-7.9%,7.0,-25,-18.0,-25.6,-3.5,3.5,-21.5,"[[7.0, 5.0], [2.0, -0.0]]",1,OAK,0
2017,PHI,DAL,11,Sun,8:30PM,0,30.3%,-6.0,28,22.0,18.9,1.98,-4.02,26.02,"[[1.5, -0.5], [-3.5, -5.5]]",0,,0
2017,PIT,TEN,11,Thu,8:25PM,1,25.3%,-7.0,23,16.0,33.1,9.29,2.289999999999999,13.71,"[[-5.5, -8.0], [-11.0, -13.0]]",1,PIT,1
2017,SEA,ATL,11,Mon,8:30PM,1,12.5%,1.0,-3,-2.0,11.1,4.64,5.64,-7.64,"[[-1.0, -3.0], [-6.0, -8.5]]",0,,0
2017,TB,MIA,11,Sun,1:00PM,0,-18.7%,-1.0,10,9.0,17.2,1.6,0.6000000000000001,8.4,"[[2.0, -0.0], [-3.0, -5.5]]",0,,1
2017,TEN,PIT,11,Thu,8:25PM,0,-7.8%,7.0,-23,-16.0,-33.1,-9.29,-2.289999999999999,-13.71,"[[13.0, 11.0], [8.0, 5.5]]",1,PIT,1
2017,WAS,NO,11,Sun,1:00PM,0,4.9%,9.5,-3,6.5,-30.6,-8.77,0.7300000000000004,5.77,"[[12.5, 10.5], [7.5, 5.0]]",0,,1
