TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-12.0%,22,-13.8%,24,4-5,-22.4%,30,-13.1%,5,-2.7%,25
ATL,7.1%,9,4.9%,12,8-1,7.5%,11,1.7%,18,1.3%,16
BAL,15.3%,12,14.4%,8,7-2,7.9%,9,3.9%,20,11.3%,1
BUF,-11.9%,25,-10.4%,22,3-6,2.3%,17,20.1%,31,5.9%,4
CAR,-6.4%,17,-7.4%,19,2-7,-6.4%,20,-7.1%,8,-7.1%,30
CHI,32.1%,5,33.9%,4,7-2,-15.7%,27,-39.9%,1,7.9%,2
CIN,-4.5%,24,-1.0%,16,4-5,1.9%,18,10.2%,26,3.8%,9
CLE,-22.6%,29,-22.5%,28,2-7,-21.3%,29,6.3%,22,5.0%,5
DAL,8.1%,11,8.4%,10,4-5,7.8%,10,-0.8%,15,-0.5%,19
DEN,39.8%,3,41.1%,1,6-3,19.2%,4,-16.0%,4,4.7%,8
DET,2.9%,15,2.2%,14,4-5,18.5%,5,9.0%,25,-6.6%,29
GB,33.0%,4,31.3%,5,6-3,21.0%,2,-9.1%,7,2.9%,13
HOU,23.6%,8,23.2%,7,8-1,7.3%,12,-24.7%,2,-8.4%,32
IND,-20.7%,27,-21.1%,27,6-3,4.5%,15,24.1%,32,-1.2%,23
JAC,-39.0%,30,-39.4%,32,1-8,-25.1%,31,12.8%,27,-1.1%,22
KC,-38.2%,32,-35.6%,31,1-8,-29.9%,32,7.5%,24,-0.8%,21
MIA,-6.6%,14,-8.1%,21,4-5,-14.6%,25,-3.1%,11,4.9%,6
MIN,-0.4%,16,-0.8%,15,6-4,-7.0%,21,0.4%,16,7.0%,3
NE,34.4%,2,34.8%,2,6-3,31.1%,1,1.3%,17,4.7%,7
NO,-2.2%,18,-1.1%,17,4-5,15.2%,6,19.1%,30,1.7%,14
NYG,13.9%,7,14.3%,9,6-4,8.6%,7,-3.9%,9,1.4%,15
NYJ,-13.8%,19,-15.5%,25,3-6,-20.0%,28,-3.0%,12,3.2%,11
OAK,-31.1%,28,-30.2%,30,3-6,-8.8%,23,14.6%,29,-7.7%,31
PHI,-16.5%,26,-18.0%,26,3-6,-14.2%,24,-2.5%,13,-4.7%,26
PIT,4.9%,10,6.3%,11,6-3,4.2%,16,2.3%,19,3.0%,12
SD,-10.5%,23,-11.0%,23,4-5,-7.2%,22,4.0%,21,0.7%,17
SEA,33.1%,6,34.1%,3,6-4,6.9%,13,-22.8%,3,3.4%,10
SF,31.9%,1,30.6%,6,6-2-1,19.4%,3,-12.3%,6,0.2%,18
STL,-3.6%,21,-3.5%,18,3-5-1,-4.6%,19,-3.6%,10,-2.5%,24
TB,3.9%,13,3.9%,13,5-4,8.0%,8,-1.5%,14,-5.6%,27
TEN,-28.4%,31,-27.4%,29,4-6,-14.7%,26,13.0%,28,-0.7%,20
WAS,-8.0%,20,-8.0%,20,3-6,5.9%,14,7.4%,23,-6.5%,28
