Game,EGO,Spread,Spread Target,Pick
MIA @ BUF,-1.72,2.5,"[5.5, 3.0]",
NYJ @ STL,-4.83,3.5,"[3.5, 1.0]",STL
GB @ DET,4.3,-3.0,"[-0.5, -3.0]",GB
ARI @ ATL,-6.26,9.5,"[10.0, 8.0]",ARI
CIN @ KC,5.56,-3.0,"[-2.0, -4.0]",CIN
JAC @ HOU,-15.24,15.5,"[19.0, 16.5]",
PHI @ WAS,-4.4,3.5,"[3.0, 0.5]",
CLE @ DAL,-8.83,7.0,"[7.5, 5.0]",DAL
TB @ CAR,0.27,-1.5,"[-2.0, -4.0]",
NO @ OAK,4.3,-6.5,"[-6.0, -8.0]",OAK
IND @ NE,-13.91,10.0,"[12.5, 10.0]",NE
SD @ DEN,-13.15,7.5,"[11.5, 9.5]",
BAL @ PIT,-0.44,-3.0,"[-1.0, -3.5]",PIT
CHI @ SF,-1.5,5.0,"[5.0, 3.0]",CHI
