Game,EGO,Spread,Spread Target,Pick
NYG @ CHI,-11.53,8.5,"[10.0, 8.0]",CHI
CIN @ BUF,-0.46,-6.0,"[-1.0, -3.0]",
DET @ CLE,0.18,-2.5,"[-1.5, -4.0]",CLE
GB @ BAL,1.41,-2.0,"[-3.0, -5.0]",
OAK @ KC,-10.14,7.5,"[8.5, 6.5]",KC
PHI @ TB,-1.65,-3.0,"[0.0, -2.0]",
PIT @ NYJ,-3.53,-1.5,"[2.0, -0.0]",
STL @ HOU,-5.45,9.0,"[9.0, 7.0]",STL
CAR @ MIN,1.8,2.5,"[2.0, -0.5]",
JAC @ DEN,-17.7,26.5,"[21.5, 19.0]",
TEN @ SEA,-9.71,11.5,"[13.5, 11.0]",TEN
ARI @ SF,-7.2,10.5,"[11.0, 8.5]",ARI
NO @ NE,-0.64,2.5,"[4.5, 2.0]",NO
WAS @ DAL,-3.92,5.5,"[7.5, 5.5]",WAS
IND @ SD,2.21,0.0,"[1.5, -0.5]",IND
