Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+10.5 / -10.5,ARI,SFO,-,+10.5 / -10.5
+2.5 / -2.5,CAR,MIN,-,+2.5 / -2.5
-6.0 / 6.0,CIN,BUF,-,-6.0 / 6.0
-2.5 / 2.5,DET,CLE,-,-2.5 / 2.5
-2.0 / 2.0,GNB,BAL,-,-2.0 / 2.0
+0.0 / -0.0,IND,SDG,-,+0.0 / -0.0
+26.5 / -26.5,JAX,DEN,-,+26.5 / -26.5
+2.5 / -2.5,NOR,NWE,-,+2.5 / -2.5
+8.5 / -8.5,NYG,CHI,-,+8.5 / -8.5
+7.5 / -7.5,OAK,KAN,-,+7.5 / -7.5
-3.0 / 3.0,PHI,TAM,-,-3.0 / 3.0
-1.5 / 1.5,PIT,NYJ,-,-1.5 / 1.5
+9.0 / -9.0,STL,HOU,-,+9.0 / -9.0
+11.5 / -11.5,TEN,SEA,-,+11.5 / -11.5
+5.5 / -5.5,WAS,DAL,-,+5.5 / -5.5
