Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.5 / -3.5,ARI,PHI,-,+3.5 / -3.5
+4.5 / -4.5,ATL,BUF,-,+4.5 / -4.5
+1.0 / -1.0,CHI,MIN,-,+1.0 / -1.0
-1.5 / 1.5,CIN,SDG,-,-1.5 / 1.5
-6.0 / 6.0,DEN,KAN,-,-6.0 / 6.0
+6.0 / -6.0,GNB,DET,-,+6.0 / -6.0
+7.5 / -7.5,JAX,CLE,-,+7.5 / -7.5
+2.0 / -2.0,MIA,NYJ,-,+2.0 / -2.0
+5.0 / -5.0,NOR,SEA,-,+5.0 / -5.0
-6.5 / 6.5,NWE,HOU,-,-6.5 / 6.5
+1.0 / -1.0,NYG,WAS,-,+1.0 / -1.0
+8.0 / -8.0,OAK,DAL,-,+8.0 / -8.0
+3.0 / -3.0,PIT,BAL,-,+3.0 / -3.0
+7.5 / -7.5,STL,SFO,-,+7.5 / -7.5
+6.5 / -6.5,TAM,CAR,-,+6.5 / -6.5
+3.5 / -3.5,TEN,IND,-,+3.5 / -3.5
