Game,EGO,Spread,Spread Target,Pick
GB @ DET,-1.65,6.0,"[5.5, 3.0]",
OAK @ DAL,-9.46,8.0,"[8.0, 6.0]",DAL
PIT @ BAL,0.05,3.0,"[3.5, 1.5]",PIT
ARI @ PHI,-3.07,3.5,"[7.0, 4.5]",
JAC @ CLE,-7.78,7.5,"[6.5, 4.0]",
MIA @ NYJ,-0.39,2.0,"[4.0, 2.0]",MIA
NE @ HOU,9.42,-6.5,"[-5.5, -8.0]",NE
TEN @ IND,-3.27,3.5,"[7.0, 5.0]",
TB @ CAR,-7.6,6.5,"[6.0, 4.0]",
CHI @ MIN,3.36,1.0,"[0.5, -2.0]",
ATL @ BUF,-3.62,4.5,"[7.5, 5.0]",
STL @ SF,-4.81,7.5,"[8.5, 6.5]",STL
CIN @ SD,1.46,-1.5,"[2.0, 0.0]",
DEN @ KC,2.86,-6.0,"[-4.5, -6.5]",KC
NYG @ WAS,1.14,1.0,"[2.5, 0.5]",NYG
NO @ SEA,-5.33,5.0,"[4.0, 1.5]",
