TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,1.2%,18,1.3%,16,7-1,-9.5%,24,-10.1%,6,0.6%,15
ATL,-2.9%,19,-5.1%,18,2-6,9.5%,7,16.2%,32,3.8%,7
BAL,23.0%,2,24.2%,2,5-4,8.8%,10,-6.5%,9,7.7%,2
BUF,4.1%,16,3.9%,15,5-3,-15.4%,27,-13.3%,4,6.1%,4
CAR,-11.8%,26,-12.5%,25,3-5-1,-5.0%,20,6.4%,24,-0.4%,18
CHI,-6.7%,24,-7.7%,21,3-5,5.7%,14,6.3%,23,-6.2%,30
CIN,6.1%,13,4.4%,14,5-2-1,3.6%,15,1.1%,14,3.5%,8
CLE,-4.6%,17,-5.1%,19,5-3,-1.9%,16,4.5%,21,1.8%,14
DAL,3.1%,11,4.7%,13,6-3,9.2%,8,4.6%,22,-1.5%,22
DEN,36.9%,1,36.4%,1,6-2,26.6%,1,-15.6%,3,-5.3%,26
DET,6.2%,14,4.8%,12,6-2,-10.0%,25,-22.8%,1,-6.6%,32
GB,16.7%,5,17.3%,4,5-3,16.9%,3,2.1%,16,1.9%,12
HOU,-12.1%,22,-12.2%,24,4-5,-6.2%,22,0.4%,13,-5.6%,27
IND,13.8%,7,14.1%,9,6-3,9.9%,5,1.9%,15,5.8%,5
JAC,-23.1%,31,-23.0%,31,1-8,-21.3%,31,-2.0%,10,-3.8%,24
KC,12.8%,4,15.3%,6,5-3,8.4%,11,-0.2%,12,4.3%,6
MIA,19.8%,10,19.6%,3,5-3,6.7%,13,-19.3%,2,-6.2%,31
MIN,-16.1%,29,-17.2%,27,4-5,-19.2%,30,-1.0%,11,2.0%,11
NE,14.0%,12,14.8%,8,7-2,9.1%,9,2.3%,17,7.3%,3
NO,7.9%,15,10.2%,11,4-4,15.5%,4,9.4%,29,1.9%,13
NYG,-9.3%,21,-7.9%,22,3-5,-5.6%,21,2.5%,18,-1.2%,20
NYJ,-17.7%,27,-17.8%,28,1-8,-17.3%,28,3.1%,20,2.7%,10
OAK,-21.3%,28,-20.3%,30,0-8,-17.8%,29,6.7%,25,3.2%,9
PHI,14.0%,6,15.3%,5,6-2,-2.6%,18,-7.1%,8,9.6%,1
PIT,13.5%,8,13.9%,10,6-3,20.6%,2,6.8%,27,-0.3%,17
SD,-2.3%,9,-1.8%,17,5-4,9.5%,6,11.5%,31,-0.2%,16
SEA,17.5%,3,15.1%,7,5-3,8.1%,12,-12.2%,5,-2.8%,23
SF,-5.0%,20,-7.2%,20,4-4,-7.5%,23,-8.4%,7,-5.9%,29
STL,-21.9%,30,-19.4%,29,3-5,-10.5%,26,10.1%,30,-1.2%,21
TB,-36.3%,32,-35.9%,32,1-7,-22.7%,32,7.7%,28,-5.9%,28
TEN,-12.8%,25,-14.9%,26,2-6,-5.0%,19,6.7%,26,-1.1%,19
WAS,-9.3%,23,-8.6%,23,3-6,-2.0%,17,3.1%,19,-4.2%,25
