Game,EGO,Spread,Spread Target,Pick
CLE @ CIN,-4.29,6.5,"[8.0, 6.0]",CLE
KC @ BUF,0.29,1.5,"[3.5, 1.0]",KC
MIA @ DET,1.06,3.0,"[2.5, 0.5]",
PIT @ NYJ,4.9,-4.5,"[-1.0, -3.5]",
SF @ NO,-5.98,5.5,"[4.5, 2.5]",
TEN @ BAL,-10.53,10.5,"[14.0, 12.0]",
ATL @ TB,4.69,-3.0,"[-1.0, -3.0]",ATL
DAL @ JAC,3.98,-7.5,"[-5.5, -7.5]",JAC
DEN @ OAK,10.78,-12.5,"[-12.5, -14.5]",OAK
STL @ ARI,-6.69,7.0,"[10.5, 8.0]",
NYG @ SEA,-7.18,9.5,"[11.0, 8.5]",NYG
CHI @ GB,-7.6,9.5,"[11.5, 9.0]",CHI
CAR @ PHI,-8.18,7.0,"[6.5, 4.5]",
