Game,EGO,Spread,Spread Target,Pick
SD @ DEN,-8.86,9.0,"[12.5, 10.5]",
BAL @ CIN,3.11,-3.0,"[0.5, -1.5]",
BUF @ NYJ,0.58,3.0,"[3.0, 1.0]",BUF
CHI @ NE,-3.88,6.0,"[7.5, 5.5]",CHI
MIA @ JAC,5.13,-7.0,"[-6.5, -9.0]",JAC
HOU @ TEN,-1.3,-3.5,"[-0.0, -2.5]",
MIN @ TB,1.23,1.5,"[2.5, 0.5]",MIN
SEA @ CAR,5.06,-6.0,"[-6.5, -9.0]",
STL @ KC,-6.56,7.0,"[10.5, 8.0]",
PHI @ ARI,0.67,-1.0,"[-2.0, -4.5]",
IND @ PIT,1.35,-4.5,"[-3.0, -5.0]",PIT
OAK @ CLE,-6.11,6.5,"[10.0, 7.5]",
GB @ NO,3.84,2.0,"[-0.0, -2.5]",
DET @ ATL,-0.77,-3.5,"[-0.5, -3.0]",
WAS @ DAL,-7.15,9.5,"[11.0, 8.5]",WAS
