TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-30.6%,31,-28.2%,30,1-5,-8.6%,28,22.1%,30,0.1%,17
ATL,10.9%,12,10.9%,12,4-3,6.7%,13,-2.1%,9,2.1%,6
BAL,21.5%,1,20.2%,5,4-2,-7.0%,24,-30.9%,1,-2.3%,26
BUF,23.7%,5,18.1%,8,4-2,31.8%,3,8.6%,20,0.4%,16
CAR,-7.6%,26,-7.9%,23,2-5,17.5%,5,18.2%,29,-6.9%,31
CHI,5.7%,21,6.1%,15,4-3,-4.2%,21,0.0%,13,9.8%,3
CIN,11.2%,11,6.9%,14,4-2,3.7%,18,-6.2%,7,1.3%,9
CLE,-11.9%,24,-9.9%,25,3-3,-8.9%,29,1.3%,14,-1.7%,23
DAL,17.2%,15,12.9%,11,3-3,8.3%,11,-11.6%,3,-2.7%,28
DEN,-13.1%,23,-13.2%,26,2-4,-7.6%,27,6.5%,17,1.1%,12
DET,11.2%,14,9.8%,13,5-2,4.7%,15,-10.6%,5,-4.1%,30
GB,30.7%,3,29.1%,1,7-0,37.3%,2,7.3%,18,0.7%,14
HOU,20.1%,16,19.1%,7,4-3,17.2%,6,-0.4%,11,2.5%,5
IND,-37.3%,29,-35.5%,31,0-7,-4.3%,22,26.2%,32,-6.9%,32
JAC,-20.7%,30,-18.4%,28,2-5,-27.8%,32,-7.7%,6,-0.6%,18
KC,-8.8%,27,-8.4%,24,3-3,-7.4%,25,2.7%,15,1.2%,10
MIA,-21.4%,28,-15.8%,27,0-6,-4.8%,23,15.5%,27,-1.1%,20
MIN,-4.3%,20,-4.4%,20,1-6,4.5%,16,7.9%,19,-0.9%,19
NE,21.9%,6,23.3%,3,5-1,38.2%,1,16.8%,28,0.6%,15
NO,20.9%,13,19.9%,6,5-2,30.0%,4,10.3%,25,1.2%,11
NYG,15.3%,7,13.7%,9,4-2,16.5%,7,-0.5%,10,-1.7%,25
NYJ,28.6%,4,27.7%,2,4-3,3.5%,19,-14.7%,2,10.4%,2
OAK,-0.4%,9,-2.0%,17,4-3,7.6%,12,9.4%,22,1.4%,8
PHI,0.3%,17,5.0%,16,2-4,10.3%,10,8.9%,21,-1.1%,21
PIT,11.4%,10,13.4%,10,5-2,13.1%,8,3.2%,16,1.5%,7
SD,-9.2%,22,-3.2%,18,4-2,6.4%,14,12.6%,26,-3.0%,29
SEA,-19.8%,25,-19.9%,29,2-4,-18.3%,30,-0.1%,12,-1.7%,24
SF,27.5%,2,21.2%,4,5-1,4.0%,17,-10.6%,4,12.9%,1
STL,-47.0%,32,-40.7%,32,0-6,-20.5%,31,25.1%,31,-1.3%,22
TB,-3.0%,19,-3.5%,19,4-3,3.0%,20,10.0%,24,4.0%,4
TEN,0.0%,8,-4.5%,21,3-3,12.5%,9,9.9%,23,-2.6%,27
WAS,-4.5%,18,-5.9%,22,3-3,-7.6%,26,-2.3%,8,0.8%,13
