Game,EGO,Spread,Spread Target,Pick
MIA @ CAR,1.57,3.5,"[2.0, -0.0]",
NO @ TB,11.84,-10.5,"[-8.0, -10.5]",NO
PIT @ KC,10.9,-11.5,"[-12.5, -14.5]",
CLE @ DET,0.14,3.0,"[3.5, 1.5]",CLE
IND @ BAL,-0.3,-1.5,"[-1.0, -3.5]",BAL
SF @ GB,-6.71,6.0,"[5.0, 3.0]",
ATL @ NYG,-3.45,7.0,"[7.0, 5.0]",ATL
BUF @ JAC,-8.06,8.5,"[12.0, 9.5]",
WAS @ DAL,-8.5,10.5,"[12.0, 10.0]",WAS
SEA @ MIN,-10.34,11.0,"[14.0, 12.0]",
ARI @ STL,10.62,-9.0,"[-7.0, -9.0]",ARI
CIN @ OAK,14.04,-8.5,"[-10.5, -12.5]",
NYJ @ NE,-11.62,11.0,"[10.0, 8.0]",
SD @ DEN,-3.14,-6.0,"[1.5, -0.5]",
PHI @ CHI,8.56,-3.5,"[-5.0, -7.0]",
TEN @ HOU,-7.45,3.5,"[6.0, 4.0]",
