TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,19.6%,11,19.9%,9,6-3,17.7%,9,-0.9%,15,1.1%,12
ATL,4.6%,15,3.0%,17,5-4,12.5%,15,8.6%,22,0.7%,14
BAL,27.4%,6,27.2%,5,5-4,18.0%,6,-9.9%,4,-0.5%,21
BUF,-22.0%,25,-24.9%,26,3-6,-21.1%,28,1.7%,16,0.7%,15
CAR,-9.0%,23,-5.3%,21,4-5,-5.9%,21,-3.1%,11,-6.1%,30
CHI,-17.8%,24,-18.9%,25,4-5,-16.5%,27,6.9%,21,5.6%,4
CIN,18.6%,13,19.5%,11,7-2,17.9%,7,-2.3%,13,-1.7%,23
CLE,-42.7%,29,-43.9%,30,1-8,-36.1%,31,16.1%,29,9.4%,2
DAL,21.1%,5,22.5%,8,6-3,20.3%,4,3.2%,19,4.0%,6
DEN,13.2%,10,12.3%,12,6-3,10.2%,17,-7.4%,8,-4.4%,28
DET,-54.7%,32,-54.6%,32,1-8,-29.0%,30,20.2%,30,-5.5%,29
GB,20.3%,9,19.8%,10,5-4,14.1%,13,-14.0%,1,-7.9%,32
HOU,9.2%,16,11.3%,14,5-4,15.5%,11,9.4%,23,3.1%,7
IND,34.5%,4,35.9%,2,9-0,26.6%,2,-7.5%,7,0.4%,17
JAC,2.7%,20,2.3%,18,5-4,15.3%,12,13.2%,28,0.6%,16
KC,-32.1%,27,-33.2%,28,2-7,-21.7%,29,12.5%,27,2.0%,10
MIA,10.2%,12,11.8%,13,4-5,10.2%,16,3.0%,18,3.0%,8
MIN,25.0%,7,26.3%,6,8-1,17.9%,8,2.7%,17,9.8%,1
NE,39.8%,1,42.5%,1,6-3,33.2%,1,-2.5%,12,4.0%,5
NO,30.4%,3,27.9%,4,9-0,26.4%,3,-6.5%,9,-2.5%,27
NYG,9.8%,14,8.6%,15,5-4,8.5%,18,-3.4%,10,-2.2%,24
NYJ,1.3%,17,-1.9%,20,4-5,-8.1%,22,-8.2%,6,1.2%,11
OAK,-49.1%,31,-50.8%,31,2-7,-39.1%,32,9.5%,24,-0.5%,20
PHI,30.4%,2,28.5%,3,5-4,13.0%,14,-11.5%,3,5.9%,3
PIT,21.4%,8,24.0%,7,6-3,18.5%,5,-9.7%,5,-6.8%,31
SD,5.3%,18,8.1%,16,6-3,17.3%,10,11.7%,25,-0.3%,19
SEA,-10.6%,21,-11.9%,23,3-6,-5.7%,20,5.9%,20,1.0%,13
SF,-0.8%,19,-1.0%,19,4-5,-12.9%,24,-13.0%,2,-0.9%,22
STL,-37.5%,30,-36.1%,29,1-8,-13.6%,25,21.5%,32,-2.4%,25
TB,-32.8%,28,-33.2%,27,1-8,-15.1%,26,20.4%,31,2.8%,9
TEN,-12.7%,26,-13.0%,24,3-6,2.1%,19,12.3%,26,-2.4%,26
WAS,-6.5%,22,-6.8%,22,3-6,-8.5%,23,-2.2%,14,-0.3%,18
