TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,1.8%,13,1.4%,17,3-4-1,-10.5%,26,-18.2%,3,-5.9%,30
ATL,20.4%,5,22.1%,3,6-3,24.3%,1,8.0%,24,4.1%,6
BAL,-4.1%,20,-5.0%,22,4-4,-24.5%,32,-17.8%,5,2.6%,9
BUF,5.6%,9,6.3%,11,4-5,13.2%,6,6.3%,22,-1.3%,20
CAR,-6.8%,21,-7.3%,23,3-5,-1.0%,17,0.6%,17,-5.3%,28
CHI,2.5%,15,3.7%,16,2-6,1.8%,13,-0.1%,16,0.6%,14
CIN,-0.9%,19,-0.4%,19,3-4-1,12.5%,7,7.6%,23,-5.8%,29
CLE,-32.5%,32,-32.2%,31,0-9,-8.1%,24,20.7%,31,-3.8%,24
DAL,21.7%,2,22.3%,2,7-1,20.8%,2,-1.2%,14,-0.3%,17
DEN,14.4%,3,15.2%,6,6-3,-6.0%,22,-19.8%,2,0.7%,13
DET,-12.4%,24,-13.2%,27,5-4,3.8%,12,21.3%,32,5.0%,3
GB,9.4%,7,9.0%,7,4-4,4.3%,11,-7.7%,7,-2.6%,22
HOU,-26.6%,30,-27.6%,30,5-3,-23.5%,31,-3.4%,13,-6.6%,31
IND,-12.4%,28,-12.0%,25,4-5,0.5%,16,19.8%,30,6.9%,2
JAC,-13.5%,27,-13.7%,28,2-6,-12.2%,28,-0.5%,15,-1.8%,21
KC,5.5%,10,5.4%,12,6-2,-5.3%,21,-6.2%,11,4.6%,5
LARM,-10.3%,25,-7.9%,24,3-5,-21.3%,30,-6.2%,12,4.9%,4
MIA,4.7%,18,6.9%,10,4-4,-4.3%,20,-6.3%,10,2.8%,7
MIN,8.9%,8,8.5%,9,5-3,-10.3%,25,-18.1%,4,1.1%,12
NE,19.3%,4,21.0%,4,7-1,18.4%,3,1.7%,18,2.6%,8
NO,-1.9%,23,-1.4%,20,4-4,17.3%,5,16.2%,29,-2.9%,23
NYG,3.8%,17,3.8%,15,5-3,-2.7%,18,-7.2%,9,-0.7%,19
NYJ,-32.6%,31,-33.1%,32,3-6,-17.2%,29,8.0%,24,-7.4%,32
OAK,8.5%,11,8.6%,8,7-2,17.6%,4,10.3%,27,1.2%,11
PHI,27.5%,1,27.8%,1,4-4,-7.8%,23,-24.5%,1,10.8%,1
PIT,2.1%,12,0.2%,18,4-4,5.6%,10,3.0%,19,-0.6%,18
SD,4.7%,14,4.4%,13,4-5,0.9%,15,-7.6%,8,-3.8%,25
SEA,20.6%,6,19.8%,5,5-2-1,1.6%,14,-17.7%,6,1.3%,10
SF,-22.3%,29,-24.6%,29,1-7,-11.6%,27,10.4%,28,-0.3%,16
TB,-11.4%,26,-12.9%,26,3-5,-3.8%,19,3.6%,20,-4.0%,26
TEN,-4.0%,22,-4.1%,21,4-5,10.1%,8,8.9%,26,-5.1%,27
WAS,2.8%,16,4.1%,14,4-3-1,6.1%,9,3.8%,21,0.5%,15
