Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+2.0 / -2.0,ATL,PHI,-,+2.0 / -2.0
-2.5 / 2.5,CHI,TAM,-,-2.5 / 2.5
-1.0 / 1.0,CIN,NYG,-,-1.0 / 1.0
+7.5 / -7.5,CLE,BAL,-,+7.5 / -7.5
+3.0 / -3.0,DAL,PIT,-,+3.0 / -3.0
+3.0 / -3.0,DEN,NOR,-,+3.0 / -3.0
-3.0 / 3.0,GNB,TEN,-,-3.0 / 3.0
+3.0 / -3.0,HOU,JAX,-,+3.0 / -3.0
+3.0 / -3.0,KAN,CAR,-,+3.0 / -3.0
-1.0 / 1.0,LAR,NYJ,-,-1.0 / 1.0
+4.0 / -4.0,MIA,SDG,-,+4.0 / -4.0
+2.5 / -2.5,MIN,WAS,-,+2.5 / -2.5
+7.5 / -7.5,SEA,NWE,-,+7.5 / -7.5
+13.5 / -13.5,SFO,ARI,-,+13.5 / -13.5
