Game,EGO,Spread,Spread Target,Pick
CLE @ BAL,-8.06,7.5,"[6.5, 4.5]",
ATL @ PHI,-3.47,2.0,"[2.0, -0.0]",PHI
CHI @ TB,1.46,-2.5,"[-3.0, -5.0]",
DEN @ NO,1.46,3.0,"[2.0, 0.0]",
GB @ TEN,0.67,-3.0,"[-2.0, -4.5]",TEN
HOU @ JAC,-5.24,3.0,"[3.5, 1.5]",JAC
KC @ CAR,0.58,3.0,"[3.0, 1.0]",KC
LARM @ NYJ,3.41,-1.0,"[0.5, -2.0]",LARM
MIN @ WAS,-1.26,2.5,"[5.0, 3.0]",
MIA @ SD,-1.67,4.0,"[5.5, 3.0]",MIA
DAL @ PIT,2.7,3.0,"[1.0, -1.0]",
SF @ ARI,-7.8,13.5,"[11.5, 9.5]",
SEA @ NE,-2.49,7.5,"[6.0, 4.0]",
CIN @ NYG,-3.14,-1.0,"[1.5, -0.5]",
