TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,18.7%,4,17.0%,6,6-3,25.1%,1,3.1%,15,-3.3%,27
ATL,14.5%,13,16.1%,9,6-3,18.7%,4,7.0%,18,2.7%,9
BAL,26.4%,5,26.3%,4,6-3,5.3%,15,-22.5%,2,-1.3%,23
BUF,-7.7%,19,-10.7%,23,5-4,-2.7%,22,9.3%,20,4.4%,3
CAR,16.5%,7,17.8%,5,7-2,2.3%,20,-12.0%,7,2.1%,12
CHI,9.5%,11,8.1%,15,5-4,4.9%,16,-5.6%,10,-0.9%,21
CIN,-36.1%,30,-35.9%,30,1-8,-18.9%,30,13.9%,23,-3.2%,26
CLE,-11.3%,25,-9.6%,22,3-6,-3.5%,23,16.6%,25,8.8%,1
DAL,-11.2%,24,-16.1%,27,5-4,3.8%,17,8.6%,19,-6.4%,30
DEN,-6.5%,20,-8.2%,21,5-4,15.8%,8,20.3%,27,-2.0%,25
DET,-42.7%,29,-42.7%,31,0-9,-13.5%,28,30.3%,32,1.1%,14
GB,16.5%,10,16.6%,7,4-5,7.5%,13,-5.9%,9,3.0%,8
HOU,-14.9%,22,-14.0%,25,3-6,6.5%,14,25.1%,30,3.7%,5
IND,13.0%,14,14.5%,10,5-4,18.3%,6,4.0%,16,-1.4%,24
JAC,-3.5%,21,-3.2%,19,4-5,8.3%,11,14.9%,24,3.0%,7
KC,-34.9%,32,-32.5%,29,1-8,-8.8%,27,21.0%,28,-5.2%,29
MIA,7.7%,12,10.1%,14,5-4,15.3%,9,-0.5%,13,-8.2%,31
MIN,1.9%,16,1.3%,16,5-4,-4.1%,24,-17.9%,4,-11.9%,32
NE,-5.2%,23,-6.5%,20,6-3,2.6%,19,11.0%,21,3.2%,6
NO,0.7%,15,0.4%,17,4-5,20.0%,3,19.1%,26,-0.1%,19
NYG,39.0%,1,38.4%,1,8-1,23.9%,2,-10.7%,8,4.3%,4
NYJ,10.7%,18,11.5%,13,6-3,3.0%,18,-5.4%,11,2.4%,10
OAK,-31.0%,28,-31.8%,28,2-7,-27.5%,32,4.4%,17,1.0%,15
PHI,33.5%,2,34.4%,2,5-4,18.1%,7,-14.6%,6,0.8%,16
PIT,17.0%,6,16.2%,8,6-3,-7.7%,26,-24.2%,1,0.5%,18
SD,-0.4%,17,-2.0%,18,4-5,18.5%,5,21.1%,29,2.3%,11
SEA,-16.7%,27,-13.8%,24,2-7,-4.6%,25,13.5%,22,1.3%,13
SF,-14.2%,26,-14.1%,26,2-7,-18.6%,29,1.8%,14,6.3%,2
STL,-48.0%,31,-46.3%,32,2-7,-21.9%,31,26.8%,31,0.7%,17
TB,14.7%,9,13.0%,11,6-3,-1.3%,21,-16.6%,5,-0.6%,20
TEN,28.9%,3,30.2%,3,9-0,8.2%,12,-21.7%,3,-1.0%,22
WAS,12.6%,8,12.2%,12,6-3,14.9%,10,-1.2%,12,-3.5%,28
