Game,EGO,Spread,Spread Target,Pick
NYJ @ NE,1.78,3.5,"[2.0, -0.5]",
NO @ KC,5.17,-6.0,"[-6.5, -9.0]",
BAL @ NYG,-4.85,7.0,"[8.5, 6.5]",BAL
CHI @ GB,-4.08,3.5,"[2.5, 0.5]",
DEN @ ATL,-7.45,6.5,"[6.0, 4.0]",
HOU @ IND,-8.33,8.0,"[7.0, 4.5]",
MIN @ TB,-4.77,5.5,"[8.5, 6.5]",
OAK @ MIA,-11.1,10.0,"[9.5, 7.5]",
DET @ CAR,-14.82,14.0,"[13.5, 11.0]",
PHI @ CIN,14.04,-9.0,"[-10.5, -12.5]",
STL @ SF,-9.11,7.0,"[7.5, 5.5]",SF
ARI @ SEA,4.69,-3.0,"[-1.0, -3.0]",ARI
TEN @ JAC,5.29,-3.0,"[-1.5, -4.0]",TEN
SD @ PIT,-6.15,4.5,"[4.5, 2.5]",PIT
DAL @ WAS,-8.29,-2.0,"[7.0, 4.5]",
CLE @ BUF,-1.98,5.0,"[5.5, 3.5]",CLE
