Game,EGO,Spread,Spread Target,Pick
PHI @ NYG,-0.06,-1.5,"[-1.5, -3.5]",NYG
ARI @ MIN,-5.9,10.0,"[9.5, 7.5]",
BUF @ HOU,-9.93,10.5,"[13.5, 11.5]",
CAR @ WAS,-0.95,-1.0,"[-0.5, -3.0]",WAS
CHI @ MIA,-1.19,-7.5,"[-0.5, -2.5]",
IND @ NYJ,-1.76,2.5,"[5.5, 3.5]",
LAC @ CLE,2.01,1.0,"[1.5, -0.5]",LAC
PIT @ CIN,0.1,1.5,"[3.5, 1.5]",PIT
SEA @ OAK,0.94,-3.0,"[-2.5, -4.5]",OAK
TB @ ATL,-3.4,3.0,"[2.0, -0.5]",
LAR @ DEN,4.76,-7.0,"[-6.5, -8.5]",DEN
BAL @ TEN,1.14,-2.5,"[-2.5, -5.0]",TEN
JAX @ DAL,0.23,-3.0,"[-1.5, -4.0]",DAL
KC @ NE,-0.64,3.5,"[4.5, 2.0]",KC
SF @ GB,-7.95,9.0,"[11.5, 9.5]",
