Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+10.0 / -10.0,ARI,MIN,-,+10.0 / -10.0
-2.5 / 2.5,BAL,TEN,-,-2.5 / 2.5
+10.5 / -10.5,BUF,HOU,-,+10.5 / -10.5
-1.0 / 1.0,CAR,WAS,-,-1.0 / 1.0
-7.5 / 7.5,CHI,MIA,-,-7.5 / 7.5
+2.5 / -2.5,IND,NYJ,-,+2.5 / -2.5
-3.0 / 3.0,JAX,DAL,-,-3.0 / 3.0
+3.5 / -3.5,KAN,NWE,-,+3.5 / -3.5
+1.0 / -1.0,LAC,CLE,-,+1.0 / -1.0
-7.0 / 7.0,LAR,DEN,-,-7.0 / 7.0
-1.5 / 1.5,PHI,NYG,-,-1.5 / 1.5
+1.5 / -1.5,PIT,CIN,-,+1.5 / -1.5
-3.0 / 3.0,SEA,OAK,-,-3.0 / 3.0
+9.0 / -9.0,SFO,GNB,-,+9.0 / -9.0
+3.0 / -3.0,TAM,ATL,-,+3.0 / -3.0
