Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
ARI,PIT,2019,14,1,2.5,-11.9,-12.1,-0.29,2.21,47.0,91.0,0.0,0.05756975940109607,21.0,90.0,-8.328190474066808,0.3227478638771182,35.0,65.0,0.0,-0.0011883655148854783,47.0,19.0,-6.848696919948052,-0.24203446795626254,38.0,54.0,-4.319452933576867,-0.1540348476009329,0.0,26.0,0.5597983416700432,0.2980556931512529,1,-1,-6,-3.5,-1
ATL,CAR,2019,14,1,-3.5,-15.5,1.6999999999999993,2.52,-0.98,7.0,12.0,0.0,0.013053400084951657,27.0,100.0,13.940188918703331,-0.49068765451704877,8.0,24.0,9.102074806235308,0.2699988352924464,59.0,40.0,0.0,-0.15506845919933665,93.0,45.0,0.0,-0.22318528021588302,28.0,41.0,2.9070820729985822,0.3158241793078319,-1,-1,20,16.5,1
BAL,BUF,2019,14,0,-6.5,42.5,38.3,5.77,-0.7300000000000004,37.0,64.0,0.0,-0.09641006957977755,79.0,70.0,3.322380132529881,0.15813893732038506,100.0,65.0,8.24568688103375,-0.259337026755154,76.0,52.0,0.0,0.083658478966426,35.0,64.0,0.0,0.04528843038245017,46.0,37.0,-1.083188008180775,-0.37726032723594577,-1,-1,7,0.5,1
BUF,BAL,2019,14,1,6.5,4.2,-38.3,-5.77,0.7300000000000004,70.0,79.0,0.0,0.018576258252144817,64.0,37.0,3.1772966524301496,0.10844224146615145,52.0,76.0,0.0,0.0876731689653827,65.0,100.0,0.0,-0.03739124538117654,37.0,46.0,0.0,0.014610310773642707,64.0,35.0,0.0,-0.0482025341559249,1,-1,-7,-0.5,-1
CAR,ATL,2019,14,0,3.5,-17.2,-1.6999999999999993,-2.52,0.98,100.0,27.0,2.2056112224448885,0.24980607038921704,12.0,7.0,0.0,0.001468337797969406,40.0,59.0,-0.08829914804224348,-0.2069847889756097,24.0,8.0,-4.1535628452369435,-0.1459266023087871,41.0,28.0,2.51010913630628,0.6190748116082846,45.0,93.0,0.0,0.08910007677517823,1,-1,-20,-16.5,-1
CHI,DAL,2019,14,1,3.0,-2.8,-19.3,-1.77,1.23,40.0,100.0,-4.773405316798517,0.49435466173354387,48.0,54.0,0.5584527220630373,0.1517772153867139,11.0,62.0,-0.03544606976372222,0.7034130772382041,73.0,45.0,0.0,-0.31383335280892344,28.0,53.0,0.0,0.2266684550079605,49.0,100.0,0.0,0.4602890756387713,1,1,7,10.0,1
CIN,CLE,2019,14,0,6.5,-28.2,-28.2,-7.78,-1.2800000000000002,14.0,51.0,-0.7798227176220838,0.467949503224084,24.0,64.0,-4.083196291817815,0.3902957739773211,11.0,41.0,-9.954810701926558,-0.44165808003751417,0.0,41.0,-3.572222633136095,0.22020813970792147,42.0,54.0,-4.609647401001647,0.26451623160057663,35.0,44.0,-4.3724555555555575,0.2438945209299604,-1,1,-8,-1.5,-1
CLE,CIN,2019,14,1,-6.5,0.0,28.2,7.78,1.2800000000000002,64.0,24.0,5.602928447060768,0.2679568526198245,51.0,14.0,9.87892263861103,0.4541946606314932,41.0,0.0,-12.483016287779803,-0.3567944663005753,41.0,11.0,0.31253390032761985,-0.14103293463725403,44.0,35.0,7.762045875558462,0.5395908643678562,54.0,42.0,1.5777436440677945,0.44657577827825573,1,1,8,1.5,1
DAL,CHI,2019,14,0,-3.0,16.5,19.3,1.77,-1.23,54.0,48.0,1.7634364458023022,0.24232019784788592,100.0,40.0,2.4192229987666627,0.21489073528282465,45.0,73.0,0.7869471204032314,0.10139068388138164,62.0,11.0,4.727292897277051,0.26743499886004823,100.0,49.0,0.09475073075673635,0.25887465715163627,53.0,28.0,0.0,-0.02121286427102575,-1,1,-7,-10.0,-1
DEN,HOU,2019,14,0,8.0,-11.7,-11.7,-4.53,3.47,40.0,39.0,4.68592714060641,0.5716269514195488,39.0,30.0,0.0,0.30858749299692495,31.0,56.0,0.5537169726824871,-0.5248640969967693,53.0,46.0,0.0,-0.13494615506038296,17.0,26.0,0.0,0.17864330873322656,56.0,56.0,-0.7668462434478727,0.3022835942832804,1,1,14,22.0,1
DET,MIN,2019,14,0,12.0,-8.0,-24.3,-7.01,4.99,27.0,82.0,-2.330652818991098,0.14305270880310877,55.0,57.0,0.0,0.05178768106961612,30.0,64.0,0.0,0.07952104083397625,48.0,51.0,0.0,0.18930430719847535,76.0,37.0,0.0,0.10993554208395034,16.0,54.0,-1.7685713668287408,-0.1407158352658442,1,-1,-13,-1.0,-1
GNB,WAS,2019,14,1,-13.0,5.8,33.9,8.88,-4.119999999999999,40.0,27.0,-1.4101568419457515,-0.16198279979132946,67.0,67.0,-0.40420267669699683,0.2889916695027578,27.0,32.0,3.9711473038648477,0.17341615139490615,42.0,25.0,0.0,0.2133832463532973,53.0,45.0,1.795144906535283,0.568836050440457,31.0,0.0,-2.275543516821379,-0.12807776154564446,-1,1,5,-8.0,-1
HOU,DEN,2019,14,1,-8.0,0.0,11.7,4.53,-3.47,30.0,39.0,0.0,0.02065865033657087,39.0,40.0,0.0,0.0884760263771949,46.0,53.0,2.2037339002787704,0.26662387335818305,56.0,31.0,5.8632107178003725,0.7997131249427266,56.0,56.0,3.3478633720930215,-0.12668824330124204,26.0,17.0,-14.184287419839006,-0.7079198915096366,-1,1,-14,-22.0,-1
IND,TAM,2019,14,0,3.0,-0.9,1.0,-1.97,1.03,54.0,27.0,-2.392177107666165,-0.36209489158962505,76.0,57.0,1.5213733228097936,-0.4587379972863881,53.0,99.0,0.0,0.33387977610237685,68.0,23.0,0.0,-0.14494441008143494,29.0,15.0,0.0,-0.4072724742742921,47.0,85.0,5.663140395883746,-0.43224391594731226,1,0,-3,0.0,0
JAX,LAC,2019,14,1,3.5,-14.3,-6.6000000000000005,0.84,4.34,74.0,69.0,-7.254500308451575,0.24065915759744563,51.0,30.0,-0.9026793715092372,0.21030502995188782,35.0,58.0,-2.9240647681710703,0.17280928973850168,26.0,18.0,0.0,0.4739675203110295,58.0,62.0,0.0,-0.2651539654894312,48.0,78.0,-12.204771520981911,0.4139962313257133,1,-1,-35,-31.5,-1
KAN,NWE,2019,14,0,3.0,26.8,-10.099999999999998,-4.21,-1.21,60.0,82.0,3.7678934480627984,-0.34291794819372623,88.0,80.0,0.0,0.22690968238210404,22.0,77.0,0.0,-0.2429477805332378,20.0,23.0,0.0,-0.013817656211284904,89.0,83.0,0.0,-0.18963808164839235,44.0,71.0,-1.5604607288253378,0.15854281759960648,-1,-1,7,10.0,1
LAC,JAX,2019,14,0,-3.5,-7.7,6.6000000000000005,-0.84,-4.34,30.0,51.0,0.4338889735901481,0.26364380937965,69.0,74.0,-5.413776222511574,0.4896171466356858,18.0,26.0,5.155492137449034,0.41844575720772414,58.0,35.0,0.0,0.5054288092234263,78.0,48.0,0.0,0.34822491613134154,62.0,58.0,0.0,-0.0934471183640894,-1,-1,35,31.5,1
LAR,SEA,2019,14,1,-1.0,3.6,-17.5,-1.4,-2.4,74.0,42.0,5.511574855102465,0.37353541427200054,91.0,24.0,6.226211947676168,0.20213746810543676,22.0,70.0,0.9684069696729267,0.3009508644956134,65.0,56.0,-5.059941617413866,0.6033169728471325,79.0,22.0,7.207138692156128,0.32995578458591457,49.0,59.0,4.271927392001192,-0.1969967135149724,-1,-1,16,15.0,1
MIA,NYJ,2019,14,0,5.0,-43.7,-26.000000000000004,-7.35,-2.35,0.0,9.0,8.911577191502419,0.4391417222792182,0.0,37.0,1.5013041529728097,0.233803877916029,0.0,100.0,3.3116514109299917,-0.2421809481511994,17.0,7.0,0.0,-0.1541960615976368,36.0,38.0,0.0,0.8614550911036941,30.0,19.0,4.233772782503035,0.6117874996689193,-1,-1,-1,4.0,1
