TEAM,TOTALDVOA,LASTWEEK,W-L,WDVOA,RANK,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-36.0%,31,1-8,-36.1%,32,-24.2%,31,3.2%,19,-8.6%,32
ATL,-7.4%,18,5-4,-9.5%,22,-6.1%,21,-1.3%,15,-2.6%,28
BAL,19.1%,5,7-2,17.1%,7,-8.5%,23,-22.6%,3,5.0%,3
BUF,-15.5%,22,3-6,-18.1%,26,-14.8%,25,5.7%,22,4.9%,4
CAR,-0.9%,16,5-4,1.0%,15,3.1%,14,0.4%,18,-3.5%,30
CHI,36.4%,1,8-1,35.5%,1,-1.5%,18,-27.8%,1,10.2%,1
CIN,4.5%,15,4-5,1.9%,14,15.2%,5,12.2%,26,1.4%,10
CLE,-13.6%,24,3-6,-12.2%,23,-22.1%,29,-2.5%,14,6.0%,2
DAL,20.3%,10,5-4,20.9%,6,9.8%,8,-10.9%,7,-0.4%,20
DEN,10.4%,9,7-2,12.8%,10,4.4%,12,-5.7%,12,0.4%,15
DET,-19.8%,25,2-7,-18.9%,27,-4.3%,19,15.2%,28,-0.3%,19
GB,-2.6%,20,4-5,-1.2%,17,2.5%,15,3.8%,20,-1.3%,23
HOU,-16.1%,28,3-6,-14.9%,25,4.8%,11,18.9%,32,-2.0%,27
IND,22.5%,7,9-0,22.6%,5,34.4%,1,8.7%,24,-3.2%,29
JAC,19.3%,6,5-4,16.6%,8,-7.0%,22,-25.4%,2,0.9%,13
KC,8.7%,11,5-4,10.0%,11,0.3%,17,-6.6%,11,1.8%,9
MIA,-6.8%,21,3-6,-5.0%,18,-15.6%,26,-10.5%,9,-1.7%,25
MIN,-5.7%,17,4-5,-5.9%,20,-18.7%,28,-12.9%,6,0.1%,16
NE,12.4%,8,6-3,13.9%,9,8.5%,10,-2.6%,13,1.3%,11
NO,6.1%,13,6-3,5.4%,13,12.3%,6,9.4%,25,3.1%,7
NYG,30.9%,4,6-3,31.0%,3,16.0%,4,-14.5%,5,0.4%,14
NYJ,-13.4%,26,5-4,-13.8%,24,0.6%,16,17.6%,30,3.6%,6
OAK,-28.3%,30,2-7,-26.0%,29,-36.9%,32,-9.6%,10,-1.0%,22
PHI,38.5%,2,5-4,35.3%,2,22.0%,3,-16.7%,4,-0.1%,17
PIT,8.3%,12,3-6,9.1%,12,4.2%,13,-10.7%,8,-6.6%,31
SD,29.9%,3,7-2,28.4%,4,25.7%,2,0.0%,17,4.2%,5
SEA,-8.6%,23,6-3,-8.8%,21,-5.5%,20,5.3%,21,2.2%,8
SF,-29.7%,29,4-5,-32.2%,31,-10.4%,24,18.6%,31,-0.7%,21
STL,0.9%,14,4-5,0.1%,16,10.7%,7,8.4%,23,-1.5%,24
TB,-25.3%,27,2-7,-24.2%,28,-23.8%,30,-0.4%,16,-1.9%,26
TEN,-29.6%,32,2-7,-26.6%,30,-16.4%,27,13.0%,27,-0.2%,18
WAS,-5.8%,19,3-6,-5.1%,19,8.9%,9,15.9%,29,1.2%,12
