Game,EGO,Spread,Spread Target,Pick
MIA @ DET,0.85,-2.5,"[-2.5, -4.5]",DET
TB @ DAL,-11.76,11.0,"[10.5, 8.0]",
DEN @ KC,-1.61,1.0,"[0.0, -2.0]",
HOU @ NYJ,-2.47,5.5,"[6.0, 4.0]",HOU
JAC @ BUF,5.59,-3.0,"[-2.0, -4.0]",JAC
PIT @ BAL,-3.97,3.0,"[2.5, 0.5]",
SF @ STL,-9.13,4.5,"[7.5, 5.5]",
CAR @ WAS,-0.88,-6.0,"[-0.5, -3.0]",
CIN @ CLE,0.9,-3.0,"[-2.5, -4.5]",CLE
ARI @ MIN,-8.69,6.0,"[7.0, 5.0]",MIN
NO @ ATL,1.08,3.0,"[2.5, 0.5]",
OAK @ SD,-13.61,13.0,"[12.0, 10.0]",
CHI @ NE,2.59,3.5,"[1.0, -1.0]",
NYG @ TEN,11.0,-3.5,"[-7.5, -9.5]",
PHI @ IND,0.58,9.5,"[3.0, 1.0]",
GB @ SEA,-0.55,10.0,"[4.0, 2.0]",
