TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-13.5%,26,-12.8%,26,3-6-1,0.2%,15,11.3%,28,-2.4%,29
ATL,-19.5%,28,-19.4%,27,2-7,-0.3%,16,14.4%,30,-4.7%,31
BAL,24.7%,7,23.8%,5,7-2,20.2%,3,-1.2%,14,3.4%,5
BUF,-11.1%,25,-10.3%,24,6-3,-11.0%,25,-1.2%,13,-1.3%,23
CAR,-1.2%,16,-0.2%,17,5-4,-3.2%,19,-0.9%,15,1.1%,10
CHI,-0.3%,20,-1.3%,20,4-5,-12.2%,26,-8.3%,5,3.6%,4
CIN,-42.1%,30,-42.4%,31,0-9,-24.1%,30,23.2%,32,5.2%,1
CLE,-12.1%,24,-11.5%,25,3-6,-10.1%,24,4.7%,23,2.6%,6
DAL,26.7%,4,27.3%,3,5-4,29.6%,1,1.4%,20,-1.4%,25
DEN,-4.8%,22,-4.2%,21,3-6,-8.0%,23,-7.9%,6,-4.8%,32
DET,0.4%,17,0.8%,16,3-5-1,3.3%,12,7.0%,25,4.2%,2
GB,15.9%,8,15.3%,8,8-2,16.0%,6,0.6%,19,0.5%,15
HOU,9.1%,10,9.3%,10,6-3,7.1%,9,0.3%,18,2.2%,7
IND,2.0%,12,2.5%,14,5-4,-1.3%,18,-4.9%,10,-1.6%,27
JAX,2.9%,14,3.1%,13,4-5,0.3%,14,-1.8%,12,0.9%,11
KC,28.4%,3,26.7%,4,6-4,26.7%,2,-0.8%,17,0.9%,12
LAC,-1.9%,19,-0.9%,19,4-6,6.7%,10,7.5%,26,-1.1%,22
LAR,3.5%,11,1.8%,15,5-4,-5.4%,21,-8.3%,4,0.5%,14
MIA,-51.6%,32,-48.9%,32,2-7,-28.8%,31,21.3%,31,-1.6%,26
MIN,22.0%,6,22.7%,6,7-3,14.3%,7,-7.1%,8,0.6%,13
NE,37.3%,2,34.9%,1,8-1,3.6%,11,-33.7%,1,0.0%,18
NO,17.0%,5,18.3%,7,7-2,8.0%,8,-7.7%,7,1.3%,9
NYG,-24.4%,27,-24.1%,28,2-8,-14.2%,27,8.9%,27,-1.4%,24
NYJ,-30.8%,31,-31.1%,29,2-7,-36.8%,32,-2.0%,11,4.1%,3
OAK,5.4%,15,6.2%,12,5-4,17.2%,5,12.3%,29,0.5%,16
PHI,7.1%,13,8.3%,11,5-4,2.7%,13,-5.0%,9,-0.6%,21
PIT,-2.0%,21,-0.5%,18,5-4,-14.5%,28,-12.4%,3,0.2%,17
SEA,14.3%,9,14.6%,9,8-2,19.1%,4,2.5%,22,-2.3%,28
SF,31.2%,1,30.5%,2,8-1,-0.5%,17,-32.2%,2,-0.5%,20
TB,-6.1%,18,-6.6%,22,3-6,-6.2%,22,2.0%,21,2.0%,8
TEN,-7.1%,23,-8.1%,23,5-5,-4.5%,20,-0.9%,16,-3.5%,30
WAS,-28.6%,29,-31.3%,30,1-8,-23.1%,29,5.2%,24,-0.4%,19
