Game,EGO,Spread,Spread Target,Pick
PIT @ CLE,0.21,3.0,"[3.5, 1.5]",PIT
ATL @ CAR,-6.37,3.5,"[5.0, 2.5]",CAR
BUF @ MIA,6.49,-7.0,"[-8.0, -10.0]",
DAL @ DET,3.7,-7.5,"[-5.0, -7.5]",DET
DEN @ MIN,-7.99,10.0,"[11.5, 9.5]",DEN
HOU @ BAL,-5.37,4.0,"[4.0, 1.5]",BAL
JAX @ IND,-2.09,2.5,"[6.0, 3.5]",
NO @ TB,3.34,-5.0,"[-5.0, -7.0]",TB
NYJ @ WAS,-2.18,1.0,"[0.5, -1.5]",
ARI @ SF,-11.39,10.0,"[10.0, 7.5]",SF
CIN @ OAK,-12.46,13.0,"[16.0, 14.0]",
NE @ PHI,3.72,-4.5,"[-5.0, -7.5]",
CHI @ LAR,-2.9,5.0,"[6.5, 4.5]",CHI
KC @ LAC,3.95,-5.5,"[-5.5, -7.5]",LAC
