Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,SF,9,Sun,November 5,4:05PM,0,boxscore,20,10,368,2,329,2,-28.6%,-2.5
ATL,CAR,9,Sun,November 5,1:00PM,0,boxscore,17,20,330,2,355,1,-4.6%,-3.0
BAL,TEN,9,Sun,November 5,1:00PM,0,boxscore,20,23,257,1,341,2,11.7%,3.0
BUF,NYJ,9,Thu,November 2,8:25PM,0,boxscore,21,34,331,0,307,3,13.2%,-3.0
CAR,ATL,9,Sun,November 5,1:00PM,1,boxscore,20,17,330,2,355,1,8.4%,3.0
CIN,JAC,9,Sun,November 5,1:00PM,0,boxscore,7,23,408,1,148,0,-6.2%,6.0
DAL,KC,9,Sun,November 5,4:25PM,1,boxscore,28,17,375,0,323,1,14.7%,-2.5
DEN,PHI,9,Sun,November 5,1:00PM,0,boxscore,23,51,419,1,226,2,1.7%,7.0
DET,GB,9,Mon,November 6,8:30PM,0,boxscore,30,17,417,1,311,0,11.2%,-2.5
GB,DET,9,Mon,November 6,8:30PM,1,boxscore,17,30,417,1,311,0,3.3%,2.5
HOU,IND,9,Sun,November 5,1:00PM,1,boxscore,14,20,371,1,288,1,17.9%,-6.0
IND,HOU,9,Sun,November 5,1:00PM,0,boxscore,20,14,371,1,288,1,-37.2%,6.0
JAC,CIN,9,Sun,November 5,1:00PM,1,boxscore,23,7,408,1,148,0,18.1%,-6.0
KC,DAL,9,Sun,November 5,4:25PM,0,boxscore,17,28,375,0,323,1,21.1%,2.5
LARM,NYG,9,Sun,November 5,1:00PM,0,boxscore,51,17,473,0,319,3,27.6%,-5.5
MIA,OAK,9,Sun,November 5,8:30PM,1,boxscore,24,27,379,2,395,1,-34.5%,3.0
NO,TB,9,Sun,November 5,1:00PM,1,boxscore,30,10,407,2,200,1,21.7%,-7.0
NYG,LARM,9,Sun,November 5,1:00PM,1,boxscore,17,51,473,0,319,3,-20.1%,5.5
NYJ,BUF,9,Thu,November 2,8:25PM,1,boxscore,34,21,331,0,307,3,-23.0%,3.0
OAK,MIA,9,Sun,November 5,8:30PM,0,boxscore,27,24,379,2,395,1,-1.1%,-3.0
PHI,DEN,9,Sun,November 5,1:00PM,1,boxscore,51,23,419,1,226,2,22.6%,-7.0
SEA,WAS,9,Sun,November 5,4:05PM,1,boxscore,14,17,244,1,437,2,13.5%,-8.0
SF,ARI,9,Sun,November 5,4:05PM,1,boxscore,10,20,368,2,329,2,-31.2%,2.5
TB,NO,9,Sun,November 5,1:00PM,0,boxscore,10,30,407,2,200,1,-12.4%,7.0
TEN,BAL,9,Sun,November 5,1:00PM,1,boxscore,23,20,257,1,341,2,-4.0%,-3.0
WAS,SEA,9,Sun,November 5,4:05PM,0,boxscore,17,14,244,1,437,2,8.1%,8.0
