Game,EGO,Spread,Spread Target,Pick
BUF @ NYJ,5.93,-3.0,"[-2.0, -4.5]",BUF
ATL @ CAR,-5.05,-3.0,"[3.5, 1.5]",
BAL @ TEN,1.26,3.0,"[2.5, 0.0]",
CIN @ JAC,-7.45,6.0,"[6.0, 4.0]",JAC
DEN @ PHI,-6.73,7.0,"[10.5, 8.0]",
IND @ HOU,-13.75,6.0,"[12.0, 10.0]",
LARM @ NYG,8.63,-5.5,"[-5.0, -7.0]",LARM
TB @ NO,-9.5,7.0,"[8.0, 6.0]",NO
ARI @ SF,-1.65,-2.5,"[0.0, -2.0]",
WAS @ SEA,-3.4,8.0,"[7.0, 5.0]",
KC @ DAL,-0.82,2.5,"[4.5, 2.5]",KC
OAK @ MIA,5.29,-3.0,"[-1.5, -4.0]",OAK
DET @ GB,-0.48,-2.5,"[-1.0, -3.0]",GB
