TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-28.5%,29,-28.6%,28,3-4,-14.5%,25,3.6%,20,-10.4%,31
ATL,-4.2%,21,-4.6%,21,4-3,12.1%,7,15.8%,28,-0.5%,20
BAL,11.6%,15,11.7%,12,4-4,-13.1%,24,-17.0%,3,7.7%,2
BUF,13.3%,11,13.2%,11,5-2,0.8%,18,-7.7%,10,4.9%,7
CAR,8.4%,17,8.4%,15,5-3,-8.4%,23,-13.3%,6,3.6%,10
CHI,-23.9%,27,-23.6%,27,3-5,-21.6%,29,-5.8%,14,-8.2%,28
CIN,-5.9%,18,-6.2%,23,3-4,-14.8%,27,-7.7%,11,1.3%,17
CLE,-34.3%,31,-33.7%,30,0-8,-27.4%,32,1.0%,18,-5.9%,26
DAL,14.3%,14,14.7%,9,4-3,18.2%,4,9.1%,25,5.2%,6
DEN,1.9%,23,1.7%,18,3-4,-6.4%,21,-18.9%,2,-10.7%,32
DET,11.5%,12,11.2%,13,3-4,-7.6%,22,-10.4%,7,8.7%,1
GB,3.5%,16,3.3%,17,4-3,4.1%,15,2.2%,19,1.5%,14
HOU,17.9%,7,17.9%,8,3-4,10.5%,8,-8.8%,8,-1.3%,21
IND,-37.6%,32,-37.2%,32,2-6,-24.7%,30,16.3%,29,3.4%,11
JAC,18.0%,8,18.1%,7,4-3,4.8%,14,-22.3%,1,-9.0%,29
KC,21.6%,3,21.1%,5,6-2,24.4%,2,10.0%,26,7.2%,3
LACH,-4.9%,22,-4.7%,22,3-5,4.0%,16,-1.3%,17,-10.1%,30
LARM,27.4%,2,27.6%,2,5-2,5.8%,13,-15.0%,4,6.7%,4
MIA,-34.7%,28,-34.5%,31,4-3,-26.6%,31,8.3%,23,0.2%,18
MIN,19.0%,6,19.1%,6,6-2,10.0%,10,-7.8%,9,1.3%,16
NE,8.4%,13,8.5%,14,6-2,26.0%,1,21.2%,32,3.6%,9
NO,21.5%,5,21.7%,4,5-2,19.4%,3,-4.4%,16,-2.3%,23
NYG,-20.3%,26,-20.1%,25,1-6,-3.9%,20,8.7%,24,-7.7%,27
NYJ,-22.8%,25,-23.0%,26,3-5,-14.6%,26,8.2%,22,-0.1%,19
OAK,-1.4%,19,-1.1%,19,3-5,15.4%,6,18.2%,31,1.4%,15
PHI,22.3%,4,22.6%,3,7-1,10.4%,9,-5.4%,15,6.5%,5
PIT,29.4%,1,29.3%,1,6-2,17.1%,5,-13.7%,5,-1.4%,22
SEA,13.1%,10,13.5%,10,5-2,3.4%,17,-7.5%,12,2.3%,13
SF,-31.2%,30,-31.2%,29,0-8,-21.4%,28,13.9%,27,4.2%,8
TB,-12.0%,24,-12.4%,24,2-5,7.5%,11,16.8%,30,-2.8%,24
TEN,-3.7%,20,-4.0%,20,4-3,0.2%,19,6.4%,21,2.5%,12
WAS,8.5%,9,8.1%,16,3-4,6.2%,12,-6.6%,13,-4.3%,25
