TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-32.6%,31,-32.5%,31,2-6,-38.3%,31,-7.1%,8,-1.3%,20
ATL,-4.0%,23,-2.9%,18,4-4,15.2%,6,19.4%,30,0.3%,14
BAL,10.9%,9,9.5%,11,4-5,4.0%,13,-6.2%,10,0.7%,13
BUF,-41.6%,32,-39.2%,32,2-7,-53.9%,32,-12.5%,2,-0.2%,18
CAR,23.8%,4,24.5%,3,6-2,18.8%,5,-2.0%,14,3.1%,6
CHI,22.1%,5,22.4%,4,5-3,6.6%,10,-18.2%,1,-2.7%,26
CIN,1.3%,17,0.4%,17,5-3,4.2%,12,2.8%,23,-0.1%,17
CLE,-22.1%,27,-22.1%,29,2-6-1,-22.4%,29,-5.7%,11,-5.4%,31
DAL,-11.3%,19,-11.3%,23,3-5,-11.1%,25,-0.5%,17,-0.7%,19
DEN,12.8%,7,12.2%,9,3-6,5.9%,11,-9.8%,4,-2.9%,27
DET,-23.4%,26,-19.3%,27,3-5,-2.6%,18,17.5%,29,-3.3%,28
GB,5.2%,11,4.5%,13,3-4-1,11.2%,9,3.5%,24,-2.5%,25
HOU,7.3%,12,7.5%,12,6-3,-6.7%,24,-10.4%,3,3.6%,4
IND,3.4%,15,4.4%,14,3-5,3.1%,14,2.7%,22,3.0%,7
JAX,-3.5%,20,-4.2%,19,3-5,-15.8%,28,-8.9%,6,3.4%,5
KC,43.8%,1,43.2%,1,8-1,41.6%,1,7.6%,27,9.8%,1
LAC,20.8%,3,21.4%,5,6-2,27.5%,3,-1.5%,15,-8.2%,32
LAR,30.1%,2,29.7%,2,8-1,28.3%,2,-0.5%,16,1.3%,11
MIA,4.7%,14,4.3%,15,5-4,-0.3%,17,0.6%,19,5.6%,3
MIN,2.0%,18,1.7%,16,5-3-1,-2.7%,19,-6.9%,9,-2.3%,22
NE,16.5%,10,16.7%,6,7-2,14.4%,7,-2.1%,13,0.0%,16
NO,13.8%,8,15.4%,7,7-1,19.7%,4,8.1%,28,2.3%,10
NYG,-13.1%,24,-13.3%,24,1-7,-5.9%,23,7.5%,26,0.2%,15
NYJ,-11.3%,22,-14.3%,25,3-6,-26.8%,30,-8.8%,7,6.7%,2
OAK,-29.3%,28,-30.0%,30,1-7,-4.9%,22,20.2%,31,-4.2%,30
PHI,-4.8%,21,-6.1%,21,4-4,-4.7%,21,-2.2%,12,-2.3%,23
PIT,9.8%,13,10.4%,10,5-2-1,13.8%,8,1.8%,21,-2.3%,24
SEA,11.4%,6,12.6%,8,4-4,0.8%,16,-9.4%,5,1.2%,12
SF,-18.7%,30,-18.0%,26,2-7,-14.6%,27,0.5%,18,-3.6%,29
TB,-20.7%,29,-21.6%,28,3-5,2.9%,15,21.5%,32,-2.2%,21
TEN,-9.9%,25,-9.3%,22,4-4,-11.8%,26,0.7%,20,2.6%,8
WAS,-5.9%,16,-5.8%,20,5-3,-3.6%,20,4.7%,25,2.5%,9
