Game,EGO,Spread,Spread Target,Pick
CAR @ PIT,0.9,3.5,"[3.0, 0.5]",
ARI @ KC,-17.7,16.5,"[16.0, 14.0]",
ATL @ CLE,2.05,-5.5,"[-3.5, -6.0]",CLE
BUF @ NYJ,-7.57,7.0,"[6.0, 4.0]",
DET @ CHI,-11.06,7.5,"[9.5, 7.5]",CHI
JAX @ IND,-4.1,3.0,"[2.5, 0.5]",
NE @ TEN,3.59,-6.5,"[-5.0, -7.5]",TEN
NO @ CIN,1.1,-6.0,"[-2.5, -5.0]",
WAS @ TB,1.28,3.5,"[2.5, 0.0]",
LAC @ OAK,9.51,-10.5,"[-11.0, -13.0]",
MIA @ GB,-2.27,11.0,"[6.0, 4.0]",
SEA @ LAR,-5.92,10.0,"[9.5, 7.5]",
DAL @ PHI,-3.36,7.5,"[7.0, 5.0]",
NYG @ SF,-1.19,3.0,"[5.0, 2.5]",NYG
