Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI @ NE,12,Sun,1:00PM,8.5%,-2.0,0,-2.0,20.6,2.36,0.3599999999999999,-2.36,"[[1.5, -1.0], [-4.0, -6.0]]",0,,
2020,BAL @ PIT,12,Tue,8:00PM,14.6%,5.0,0,5.0,-5.799999999999999,-3.49,1.5099999999999998,3.49,"[[7.0, 5.0], [2.0, -0.0]]",1,BAL,
2020,CAR @ MIN,12,Sun,1:00PM,-1.3%,3.0,0,3.0,-3.7,-3.03,-0.029999999999999805,3.03,"[[6.5, 4.5], [1.5, -0.5]]",0,,
2020,CHI @ GB,12,Sun,8:20PM,0.9%,9.5,0,9.5,-8.6,-4.1,5.4,4.1,"[[8.0, 5.5], [2.5, 0.5]]",0,,
2020,CLE @ JAX,12,Sun,1:00PM,-6.9%,-7.0,0,-7.0,8.5,-0.35,-7.35,0.35,"[[4.0, 2.0], [-1.0, -3.5]]",0,,
2020,HOU @ DET,12,Thu,12:30PM,-7.2%,-3.0,16,13.0,-6.1,-3.56,-6.5600000000000005,19.56,"[[7.5, 5.0], [2.0, -0.0]]",0,,0
2020,KC @ TB,12,Sun,4:25PM,23.8%,-3.5,0,-3.5,-1.0999999999999979,-2.47,-5.970000000000001,2.47,"[[6.0, 4.0], [1.0, -1.0]]",0,,
2020,LAC @ BUF,12,Sun,1:00PM,-8.0%,4.5,0,4.5,-12.9,-5.03,-0.5300000000000002,5.03,"[[8.5, 6.5], [3.5, 1.5]]",0,,
2020,LV @ ATL,12,Sun,1:00PM,0.8%,-3.0,0,-3.0,3.7,-1.41,-4.41,1.41,"[[5.0, 3.0], [-0.0, -2.5]]",0,,
2020,MIA @ NYJ,12,Sun,1:00PM,3.5%,-7.0,0,-7.0,33.1,5.22,-1.7800000000000002,-5.22,"[[-1.5, -3.5], [-6.5, -9.0]]",1,NYJ,
2020,NO @ DEN,12,Sun,4:05PM,30.1%,-14.5,0,-14.5,52.6,9.8,-4.699999999999999,-9.8,"[[-6.0, -8.5], [-11.5, -13.5]]",0,,
2020,NYG @ CIN,12,Sun,1:00PM,-11.8%,-6.0,0,-6.0,10.099999999999998,0.01,-5.99,-0.01,"[[3.5, 1.5], [-1.5, -3.5]]",0,,
2020,SEA @ PHI,12,Mon,8:15PM,13.5%,-5.5,0,-5.5,24.8,3.31,-2.19,-3.31,"[[0.5, -2.0], [-5.0, -7.0]]",1,PHI,
2020,SF @ LAR,12,Sun,4:05PM,1.4%,6.5,0,6.5,-10.4,-4.49,2.01,4.49,"[[8.0, 6.0], [3.0, 1.0]]",1,SF,
2020,TEN @ IND,12,Sun,1:00PM,3.7%,3.0,0,3.0,-14.400000000000002,-5.35,-2.3499999999999996,5.35,"[[9.0, 7.0], [4.0, 1.5]]",1,IND,
2020,WAS @ DAL,12,Thu,4:30PM,-15.0%,2.5,25,27.5,3.5,-1.45,1.05,26.45,"[[5.0, 3.0], [-0.0, -2.0]]",0,,1
