TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-6.6%,14,-9.2%,23,4-2,-22.8%,30,-13.4%,5,2.7%,12
ATL,18.7%,4,19.1%,7,6-0,7.0%,10,-7.3%,12,4.4%,10
BAL,15.9%,11,14.7%,10,5-1,12.3%,8,2.8%,17,6.4%,5
BUF,-21.0%,28,-16.5%,27,3-3,-5.3%,20,20.4%,31,4.6%,9
CAR,-11.4%,22,-6.4%,20,1-4,-3.8%,19,4.9%,20,-2.7%,23
CHI,33.6%,3,28.9%,3,4-1,-7.7%,23,-34.1%,1,7.1%,3
CIN,-13.0%,25,-10.7%,24,3-3,-2.4%,16,15.2%,26,4.6%,8
CLE,-21.5%,27,-21.8%,29,1-5,-18.3%,28,9.6%,23,6.3%,6
DAL,-5.7%,19,-3.3%,18,2-3,2.3%,13,1.2%,16,-6.8%,28
DEN,27.6%,9,23.5%,6,3-3,16.1%,6,-11.8%,8,-0.3%,19
DET,-1.3%,15,-2.4%,17,2-3,15.2%,7,6.4%,22,-10.1%,31
GB,34.1%,6,31.9%,1,3-3,25.7%,3,-8.1%,11,0.2%,18
HOU,18.2%,2,15.2%,9,5-1,10.5%,9,-16.7%,4,-9.1%,30
IND,-22.2%,18,-20.0%,28,2-3,-2.6%,17,18.7%,29,-0.9%,21
JAC,-41.1%,31,-33.4%,32,1-4,-22.5%,29,18.8%,30,0.2%,17
KC,-42.3%,30,-33.2%,31,1-5,-25.8%,31,15.6%,27,-0.9%,20
MIA,12.0%,12,7.6%,12,3-3,-3.4%,18,-11.0%,10,4.4%,11
MIN,13.9%,7,8.0%,11,4-2,-1.1%,15,-5.6%,13,9.3%,2
NE,25.1%,5,27.5%,4,3-3,28.4%,2,3.8%,18,0.5%,16
NO,-14.1%,24,-6.3%,19,1-4,6.7%,11,22.1%,32,1.4%,15
NYG,34.6%,8,30.1%,2,4-2,30.1%,1,-1.8%,15,2.7%,13
NYJ,-2.4%,26,-1.4%,15,3-3,-15.3%,27,-2.0%,14,10.9%,1
OAK,-20.2%,29,-16.4%,26,1-4,-0.4%,14,12.8%,25,-7.0%,29
PHI,-9.2%,17,-6.8%,21,3-3,-15.0%,26,-11.7%,9,-5.8%,27
PIT,-10.4%,21,-1.9%,16,2-3,3.2%,12,10.4%,24,-3.2%,24
SD,-15.3%,16,-13.4%,25,3-3,-12.8%,25,4.7%,19,2.2%,14
SEA,23.5%,10,16.2%,8,4-2,-7.1%,22,-25.0%,2,5.6%,7
SF,31.8%,1,25.4%,5,4-2,18.3%,4,-18.3%,3,-4.8%,25
STL,1.7%,13,-7.5%,22,3-3,-8.7%,24,-12.8%,7,-2.4%,22
TB,0.6%,23,-1.1%,14,2-3,-6.8%,21,-13.1%,6,-5.7%,26
TEN,-40.2%,32,-32.7%,30,2-4,-28.1%,32,18.6%,28,6.5%,4
WAS,0.7%,20,-0.4%,13,3-3,16.2%,5,5.3%,21,-10.2%,32
