Game,EGO,Spread,Spread Target,Pick
CLE @ PIT,-5.11,7.5,"[9.0, 6.5]",CLE
BAL @ KC,2.61,3.0,"[1.0, -1.0]",
ATL @ TB,-0.77,-3.0,"[-0.5, -3.0]",TB
NE @ MIA,3.45,-3.0,"[0.0, -2.0]",
NYG @ CAR,0.47,-2.5,"[-2.0, -4.0]",CAR
TEN @ HOU,-1.32,1.5,"[5.0, 3.0]",
IND @ JAC,-1.63,-1.0,"[0.0, -2.0]",JAC
MIN @ DET,3.41,1.0,"[0.5, -2.0]",
OAK @ CIN,-9.64,10.5,"[13.5, 11.0]",
PHI @ WAS,3.59,-2.0,"[0.0, -2.0]",PHI
SEA @ ARI,0.63,-3.5,"[-2.0, -4.5]",ARI
GB @ SF,0.41,4.0,"[3.5, 1.0]",
BUF @ NYJ,-2.88,3.5,"[6.5, 4.5]",
DEN @ SD,-7.83,7.0,"[6.5, 4.0]",
NO @ DAL,-6.94,6.5,"[5.5, 3.0]",
CHI @ STL,6.42,-6.5,"[-2.5, -5.0]",
