TEAM,TOTALDVOA,LASTWEEK,W-L,WDVOA,RANK,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-30.5%,32,2-9,-27.8%,31,-18.1%,29,5.9%,22,-6.5%,31
ATL,-15.6%,22,5-6,-18.2%,27,-8.1%,22,4.6%,18,-2.9%,28
BAL,31.0%,5,9-2,30.7%,1,-0.4%,15,-25.6%,2,5.8%,3
BUF,-10.6%,24,5-6,-13.1%,24,-9.7%,24,7.0%,23,6.1%,2
CAR,3.9%,13,6-5,5.5%,13,-3.8%,19,-10.3%,6,-2.6%,27
CHI,32.1%,1,9-2,30.6%,2,-3.5%,18,-27.8%,1,7.8%,1
CIN,11.7%,12,6-5,11.5%,10,17.6%,3,7.7%,25,1.8%,11
CLE,-14.8%,19,3-8,-15.4%,26,-22.5%,31,-2.3%,15,5.4%,4
DAL,28.6%,6,7-4,28.5%,4,15.1%,4,-14.3%,4,-0.7%,19
DEN,3.5%,10,7-4,3.9%,14,0.9%,13,-2.9%,14,-0.2%,17
DET,-28.8%,30,2-9,-29.7%,32,-9.1%,23,20.3%,32,0.6%,13
GB,-10.2%,21,4-7,-8.8%,20,-4.8%,20,2.0%,17,-3.5%,30
HOU,-14.7%,26,3-8,-11.5%,23,4.4%,11,17.9%,31,-1.2%,22
IND,23.9%,9,10-1,24.5%,5,33.2%,1,7.7%,26,-1.6%,25
JAC,21.1%,4,6-5,21.8%,7,-2.4%,17,-23.3%,3,0.2%,15
KC,10.7%,11,7-4,9.0%,11,4.4%,10,-4.0%,13,2.3%,10
MIA,-3.4%,20,5-6,-1.6%,15,-13.6%,28,-11.6%,5,-1.5%,24
MIN,-4.8%,17,5-6,-4.5%,17,-10.8%,26,-7.1%,10,-1.1%,21
NE,22.2%,8,8-3,23.8%,6,10.0%,8,-9.8%,7,2.4%,9
NO,6.9%,15,7-4,6.6%,12,12.8%,6,7.2%,24,1.4%,12
NYG,17.8%,7,6-5,17.7%,8,12.3%,7,-5.6%,12,-0.1%,16
NYJ,-8.9%,23,6-5,-10.1%,22,0.7%,14,13.6%,29,4.0%,6
OAK,-25.4%,31,2-9,-23.3%,29,-31.7%,32,-8.1%,9,-1.7%,26
PHI,19.9%,3,5-6,16.5%,9,13.2%,5,-9.6%,8,-2.9%,29
PIT,-1.5%,14,4-7,-2.1%,16,-0.9%,16,-6.2%,11,-6.7%,32
SD,31.7%,2,9-2,30.0%,3,26.3%,2,-0.5%,16,4.9%,5
SEA,-14.6%,25,7-4,-14.9%,25,-12.3%,27,5.6%,20,3.3%,7
SF,-22.4%,29,5-6,-20.7%,28,-6.4%,21,14.6%,30,-1.4%,23
STL,-5.9%,16,5-6,-7.7%,19,3.4%,12,8.8%,27,-0.5%,18
TB,-25.1%,28,3-8,-24.8%,30,-18.5%,30,5.7%,21,-0.8%,20
TEN,-13.1%,27,4-7,-7.4%,18,-10.4%,25,5.2%,19,2.4%,8
WAS,-6.0%,18,4-7,-9.5%,21,5.2%,9,11.5%,28,0.2%,14
