Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
MIA,NYJ,2006,6,0,2.5,-15.1,-11.7,-4.53,-2.03,44.0,47.0,-5.396227469358329,0.5590973971320554,16.0,22.0,0.0,-0.525608104999751,14.0,22.0,-6.825960139196455,-0.670084272907612,76.0,21.0,-6.375108076137219,-0.3035306122203641,47.0,50.0,-6.569128119143898,0.7457958605936834,78.0,47.0,0.0,-0.6923773637791149,-1,1,-3,-0.5,-1
NOR,PHI,2006,6,1,3.0,14.7,-26.3,-3.24,-0.2400000000000002,56.0,68.0,0.0,0.7095898258860783,100.0,100.0,0.0,-0.6342358521707925,30.0,64.0,4.756179734400572,-0.9584350749238721,46.0,31.0,-0.17768341391633147,-0.8724677478128755,67.0,41.0,3.577221326886919,0.3980985120448086,72.0,100.0,-4.050176733956496,0.3288656581844036,-1,-1,3,6.0,1
NYG,ATL,2006,6,0,3.0,5.6,-1.3000000000000007,-2.44,0.56,7.0,59.0,0.0,-0.923222712359742,72.0,42.0,6.082074146660133,-0.13470405808513747,37.0,97.0,0.0,0.8838756562311351,81.0,100.0,0.0,-0.7804276712923219,83.0,60.0,0.0,0.9321970049571292,40.0,5.0,0.0,-0.5327197779941051,1,1,13,16.0,1
NYJ,MIA,2006,6,1,-2.5,-3.4,11.7,4.53,2.03,22.0,16.0,0.0,0.4851426341351075,47.0,44.0,0.0,-0.7313065200361073,21.0,76.0,-16.328344438749365,0.5159309142602141,22.0,14.0,0.0,0.20558564661093032,47.0,78.0,0.0,-0.7758578123992967,50.0,47.0,-4.195223463687153,0.46728957736230825,1,1,3,0.5,1
OAK,DEN,2006,6,0,16.0,-50.1,-43.3,-10.69,5.3100000000000005,0.0,99.0,0.0,0.9958196900613627,0.0,14.0,0.0,0.08029258720827348,34.0,63.0,-3.811198212835091,0.5622730451038618,21.0,47.0,0.0,0.8060633983847656,0.0,61.0,-2.6298146410136085,0.15268833510519964,96.0,26.0,0.0,-0.47454455070521473,1,1,-10,6.0,1
PHI,NOR,2006,6,0,-3.0,41.0,26.3,3.24,0.2400000000000002,100.0,100.0,0.0,-0.14315192902928253,68.0,56.0,8.126799999999996,-0.9912752546514662,31.0,46.0,0.0,-0.024523738182710336,64.0,30.0,0.0,0.02210968222869575,100.0,72.0,0.0,0.36021673673975224,41.0,67.0,0.0,0.3219307471452089,1,-1,-3,-6.0,-1
PIT,KAN,2006,6,1,-6.5,-4.3,-42.2,-6.6,-13.1,69.0,59.0,-4.88927234927235,-0.8383523004681572,46.0,35.0,-5.7984119106699765,-0.9067683311301217,25.0,62.0,-4.346063513822255,-0.7632100713653042,79.0,26.0,0.0,-0.9877327435409285,37.0,94.0,0.921395348837212,-0.8934051474415641,49.0,44.0,0.0,0.7625753307152753,-1,-1,38,31.5,1
SDG,SFO,2006,6,0,-10.0,50.5,82.7,13.74,3.74,83.0,89.0,7.261988734835356,-0.735628968867402,99.0,44.0,6.739278494248872,0.9982636222049716,67.0,44.0,6.553062441999197,0.9887003722675143,100.0,36.0,0.0,0.19919870712158697,35.0,45.0,0.0,0.3003106917734054,100.0,50.0,0.0,0.12504728487364908,1,1,29,19.0,1
SEA,STL,2006,6,0,-3.0,-5.2,-20.3,-6.23,-9.23,42.0,63.0,1.0656022187004623,0.6096725489472754,46.0,22.0,4.635269615268104,0.9987718801438444,26.0,49.0,0.0,0.357108232620545,87.0,27.0,0.0,-0.0990634392092126,41.0,52.0,-0.2715303094531727,0.9109721053517378,47.0,65.0,0.0,-0.3415393295117462,-1,1,2,-1.0,-1
SFO,SDG,2006,6,1,10.0,-32.2,-82.7,-13.74,-3.74,44.0,99.0,0.0,0.279237235293923,89.0,83.0,-4.769663767070808,0.22510338367215768,36.0,100.0,0.0,0.5464567606040717,44.0,67.0,0.0,-0.4523118414455129,50.0,100.0,-8.461641991924626,0.42632176912645536,45.0,35.0,0.0,0.02994992272926178,-1,1,-29,-19.0,-1
