Away Season,Away DVOA Diff Range,Away Count,Away Avg Spread,Away Avg Game Margin,Away EGO,Away Max,Away Min,Away Std Dev,Home Season,Home DVOA Diff Range,Home Count,Home Avg Spread,Home Avg Game Margin,Home EGO,Home Max,Home Min,Home Std Dev
All,-100 to -50,69,13.96376811594203,-10.971014492753623,-17.703419331258033,18,-45,12.863504021858706,All,-100 to -50,99,9.555555555555555,-11.303030303030303,-15.173057906262619,21,-46,13.957263155977062
All,-50 to -40,91,11.395604395604396,-12.89010989010989,-11.741803324135583,34,-58,14.177016258288978,All,-50 to -40,89,6.179775280898877,-6.280898876404494,-7.984083018376806,22,-34,13.027059917415386
All,-40 to -35,58,9.836206896551724,-12.0,-10.203455616075154,31,-38,12.587936302304568,All,-40 to -35,61,5.016393442622951,-7.442622950819672,-6.234783002685171,17,-38,13.36852595983558
All,-35 to -30,95,8.757894736842106,-12.642105263157895,-9.167236320417128,45,-59,14.881743627446923,All,-35 to -30,88,4.4375,-5.306818181818182,-5.079237149175153,30,-39,13.11168466739255
All,-30 to -25,105,7.457142857142857,-8.00952380952381,-8.122493699198246,28,-41,14.30471630004973,All,-30 to -25,110,2.731818181818182,-4.4363636363636365,-3.932214621225991,31,-37,14.627815198492028
All,-25 to -20,113,6.845132743362832,-6.68141592920354,-7.0692277524185085,31,-41,14.741986616661114,All,-25 to -20,128,2.03515625,-4.546875,-2.7937154188376856,34,-35,13.86882266546026
All,-20 to -17.5,49,6.326530612244898,-6.530612244897959,-6.273684859934392,26,-35,14.049172634026542,All,-20 to -17.5,74,1.3108108108108107,-2.445945945945946,-1.9454344494457696,29,-28,11.96128674515321
All,-17.5 to -15,67,5.768656716417911,-7.223880597014926,-5.740659392373882,17,-38,12.518859585395957,All,-17.5 to -15,71,0.29577464788732394,-1.0704225352112675,-1.382577342422259,34,-29,12.524631666853203
All,-15 to -12.5,65,5.376923076923077,-5.184615384615385,-5.205503093423156,28,-42,14.60296663748105,All,-15 to -12.5,68,0.5955882352941176,1.5441176470588236,-0.8218510667889634,38,-37,15.048611602075843
All,-12.5 to -10,79,4.329113924050633,-0.7848101265822784,-4.668215963082215,28,-29,12.14619375441937,All,-12.5 to -10,67,-0.9477611940298507,-2.029850746268657,-0.26325562254588153,33,-25,11.683931142688353
All,-10 to -7.5,91,4.615384615384615,-5.351648351648351,-4.128798001351061,24,-34,12.34357559072161,All,-10 to -7.5,79,-0.9367088607594937,0.4050632911392405,0.2932089903069861,35,-35,14.634450912883063
All,-7.5 to -5,78,3.5641025641025643,-2.2051282051282053,-3.587249208229693,34,-30,11.706762364047757,All,-7.5 to -5,86,-1.3837209302325582,2.6744186046511627,0.8475427717696393,41,-26,12.62718063680382
All,-5 to -2.5,75,2.8,1.2,-3.043569583718111,32,-52,14.743757268022911,All,-5 to -2.5,78,-1.4230769230769231,3.6666666666666665,1.3997457218420788,37,-33,13.65023825173042
All,-2.5 to 0,74,2.8716216216216215,-3.4054054054054053,-2.4977591278163143,34,-43,16.484047015153124,All,-2.5 to 0,85,-1.9352941176470588,2.541176470588235,1.9498178405243036,40,-30,14.522193968097893
All,0 to 2.5,83,1.9036144578313252,-2.2650602409638556,-1.9498178405243034,30,-40,14.212742768674943,All,0 to 2.5,72,-2.861111111111111,3.111111111111111,2.4977591278163147,43,-34,16.239020607701057
All,2.5 to 5,78,1.4230769230769231,-3.6666666666666665,-1.3997457218420783,33,-37,13.65023825173042,All,2.5 to 5,75,-2.8,-1.2,3.0435695837181114,52,-32,14.743757268022911
All,5 to 7.5,86,1.3837209302325582,-2.6744186046511627,-0.8475427717696391,26,-41,12.62718063680382,All,5 to 7.5,78,-3.5641025641025643,2.2051282051282053,3.587249208229694,30,-34,11.706762364047757
All,7.5 to 10,79,0.9367088607594937,-0.4050632911392405,-0.2932089903069859,35,-35,14.634450912883063,All,7.5 to 10,91,-4.615384615384615,5.351648351648351,4.128798001351062,34,-24,12.34357559072161
All,10 to 12.5,67,0.9477611940298507,2.029850746268657,0.26325562254588153,25,-33,11.683931142688353,All,10 to 12.5,79,-4.329113924050633,0.7848101265822784,4.668215963082217,29,-28,12.14619375441937
All,12.5 to 15,68,-0.5955882352941176,-1.5441176470588236,0.8218510667889634,37,-38,15.048611602075843,All,12.5 to 15,65,-5.376923076923077,5.184615384615385,5.205503093423156,42,-28,14.60296663748105
All,15 to 17.5,71,-0.29577464788732394,1.0704225352112675,1.382577342422259,29,-34,12.524631666853203,All,15 to 17.5,67,-5.768656716417911,7.223880597014926,5.740659392373882,38,-17,12.518859585395957
All,17.5 to 20,74,-1.3108108108108107,2.445945945945946,1.9454344494457692,28,-29,11.96128674515321,All,17.5 to 20,49,-6.326530612244898,6.530612244897959,6.273684859934393,35,-26,14.049172634026542
All,20 to 25,128,-2.03515625,4.546875,2.793715418837686,35,-34,13.86882266546026,All,20 to 25,113,-6.845132743362832,6.68141592920354,7.069227752418509,41,-31,14.741986616661114
All,25 to 30,110,-2.731818181818182,4.4363636363636365,3.9322146212259907,37,-31,14.627815198492028,All,25 to 30,105,-7.457142857142857,8.00952380952381,8.122493699198248,41,-28,14.30471630004973
All,30 to 35,88,-4.4375,5.306818181818182,5.079237149175152,39,-30,13.11168466739255,All,30 to 35,95,-8.757894736842106,12.642105263157895,9.167236320417128,59,-45,14.881743627446923
All,35 to 40,61,-5.016393442622951,7.442622950819672,6.234783002685171,38,-17,13.36852595983558,All,35 to 40,58,-9.836206896551724,12.0,10.203455616075154,38,-31,12.587936302304568
All,40 to 50,89,-6.179775280898877,6.280898876404494,7.984083018376806,34,-22,13.027059917415386,All,40 to 50,91,-11.395604395604396,12.89010989010989,11.741803324135585,58,-34,14.177016258288978
All,50 to 100,99,-9.555555555555555,11.303030303030303,15.173057906262619,46,-21,13.957263155977062,All,50 to 100,68,-13.779411764705882,10.897058823529411,17.703419331258033,45,-18,12.944358196944972
