TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-19.1%,30,-17.7%,27,6-7,-12.9%,28,8.5%,20,2.3%,8
ATL,17.8%,9,20.5%,6,8-5,9.3%,11,-8.1%,7,0.4%,18
BAL,27.1%,4,26.2%,4,10-3,9.4%,10,-21.1%,1,-3.5%,29
BUF,-11.5%,22,-21.8%,29,5-8,5.1%,17,14.8%,28,-1.8%,24
CAR,-4.8%,20,-1.5%,21,4-9,19.7%,4,18.6%,31,-6.0%,32
CHI,10.8%,10,12.7%,10,7-6,-8.6%,26,-9.4%,5,10.0%,1
CIN,4.0%,16,4.8%,15,7-6,5.7%,16,3.7%,14,2.0%,10
CLE,-16.8%,26,-15.2%,25,4-9,-7.1%,25,9.2%,22,-0.5%,20
DAL,6.4%,14,5.1%,14,7-6,11.6%,9,3.9%,15,-1.3%,23
DEN,-2.8%,19,-0.2%,20,8-5,-1.5%,19,5.0%,18,3.7%,5
DET,8.0%,13,7.5%,12,8-5,6.2%,14,-7.7%,8,-5.9%,31
GB,28.8%,2,26.5%,3,13-0,35.1%,2,9.1%,21,2.9%,7
HOU,27.8%,1,30.5%,2,10-3,18.4%,6,-8.4%,6,1.1%,13
IND,-39.1%,32,-41.7%,32,0-13,-13.8%,29,19.7%,32,-5.6%,30
JAC,-13.3%,28,-11.2%,23,4-9,-21.2%,31,-10.8%,4,-2.9%,27
KC,-22.8%,29,-16.5%,26,5-8,-18.9%,30,4.6%,17,0.7%,16
MIA,-2.5%,17,1.4%,18,4-9,-3.4%,22,0.3%,11,1.2%,12
MIN,-16.9%,27,-20.0%,28,2-11,-2.3%,20,11.6%,25,-3.0%,28
NE,23.3%,5,20.7%,5,10-3,35.3%,1,15.0%,29,3.0%,6
NO,17.1%,8,17.3%,8,10-3,33.7%,3,16.1%,30,-0.4%,19
NYG,7.1%,12,7.5%,13,7-6,15.5%,7,9.7%,23,1.2%,11
NYJ,23.0%,6,19.9%,7,8-5,6.0%,15,-12.3%,2,4.7%,4
OAK,-6.5%,18,-10.5%,22,7-6,1.7%,18,7.2%,19,-1.0%,22
PHI,2.9%,15,3.6%,17,5-8,7.0%,13,4.5%,16,0.5%,17
PIT,27.5%,3,32.4%,1,10-3,19.4%,5,-5.9%,9,2.3%,9
SD,-0.3%,21,3.6%,16,6-7,14.6%,8,12.5%,26,-2.4%,25
SEA,-4.4%,23,1.1%,19,6-7,-6.3%,24,-1.0%,10,1.0%,14
SF,17.6%,7,15.1%,9,10-3,-2.3%,21,-11.5%,3,8.4%,2
STL,-38.9%,31,-38.6%,31,2-11,-26.1%,32,9.9%,24,-2.8%,26
TB,-16.7%,24,-22.3%,30,4-9,-3.8%,23,13.8%,27,1.0%,15
TEN,12.3%,11,7.9%,11,7-6,8.9%,12,1.7%,13,5.1%,3
WAS,-10.9%,25,-13.9%,24,4-9,-9.1%,27,1.3%,12,-0.5%,21
