Game,EGO,Spread,Spread Target,Pick
JAC @ ATL,-9.0,13.5,"[12.5, 10.5]",
CIN @ STL,7.61,-7.0,"[-4.0, -6.0]",
MIA @ BUF,2.95,1.5,"[1.0, -1.5]",
WAS @ NYG,-6.84,6.0,"[5.5, 3.0]",
CAR @ HOU,-9.06,6.0,"[7.5, 5.5]",HOU
GB @ KC,7.51,-11.5,"[-9.0, -11.0]",
SEA @ CHI,-4.75,3.5,"[3.0, 1.0]",
TEN @ IND,9.08,-6.5,"[-5.5, -7.5]",TEN
NO @ MIN,6.18,-7.5,"[-7.5, -10.0]",MIN
DET @ OAK,1.78,-1.5,"[2.0, -0.5]",
CLE @ ARI,-1.67,6.5,"[5.5, 3.0]",
NE @ DEN,2.43,-7.5,"[-4.0, -6.0]",
NYJ @ PHI,1.39,3.0,"[2.5, 0.0]",
BAL @ SD,2.81,-2.5,"[1.0, -1.5]",
DAL @ TB,3.91,-7.0,"[-5.5, -7.5]",TB
PIT @ SF,1.62,3.0,"[2.0, -0.0]",
