Game,EGO,Spread,Spread Target,Pick
CIN @ BAL,-3.49,3.0,"[2.0, -0.0]",
DAL @ WAS,0.81,-3.0,"[-2.5, -4.5]",WAS
GB @ BUF,-1.76,3.0,"[5.5, 3.5]",
HOU @ NYG,-14.08,13.0,"[12.5, 10.5]",
KC @ STL,-1.45,3.0,"[5.0, 3.0]",KC
MIA @ CHI,-14.62,13.5,"[13.0, 11.0]",
NO @ TB,2.07,1.5,"[1.5, -0.5]",NO
ATL @ DET,2.45,5.0,"[1.0, -1.0]",
TEN @ JAC,-12.63,9.5,"[11.0, 9.0]",JAC
MIN @ SF,4.94,-4.0,"[-1.0, -3.5]",
CLE @ SD,-12.75,13.5,"[16.5, 14.0]",
DEN @ PIT,-3.67,2.5,"[2.0, -0.0]",
IND @ NE,-1.9,2.5,"[5.5, 3.5]",
OAK @ SEA,-9.6,7.5,"[8.0, 6.0]",SEA
