TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,NON-ADJTOT VOA,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-24.3%,25,-23.6%,28,-16.9%,1-6,-26.6%,31,-12.7%,10,-10.4%,32
ATL,0.1%,20,1.7%,18,4.3%,4-2,-6.7%,22,-9.6%,12,-2.9%,27
BAL,18.2%,7,14.9%,7,30.8%,4-2,-17.2%,27,-32.0%,1,3.4%,7
BUF,-16.8%,21,-17.3%,23,-20.5%,2-5,-14.9%,26,4.3%,23,2.4%,8
CAR,4.0%,14,5.4%,17,2.3%,4-3,3.3%,11,-2.5%,17,-1.8%,24
CHI,45.0%,2,39.4%,1,55.2%,6-0,5.4%,10,-26.8%,2,12.7%,1
CIN,7.7%,15,9.1%,13,8.9%,4-2,0.4%,13,-5.1%,14,2.3%,9
CLE,-20.2%,28,-18.2%,24,-25.3%,1-5,-21.4%,30,7.2%,25,8.5%,2
DAL,11.8%,6,9.9%,12,11.6%,3-3,-1.9%,16,-15.5%,5,-1.8%,23
DEN,9.3%,12,11.1%,10,12.0%,5-1,-4.6%,20,-15.3%,7,-1.3%,20
DET,-19.3%,22,-19.3%,26,-19.3%,1-6,-1.3%,14,15.4%,27,-2.6%,25
GB,-15.7%,26,-15.2%,22,-20.7%,2-4,-6.3%,21,5.6%,24,-3.8%,29
HOU,-29.2%,31,-27.6%,30,-30.0%,2-4,-1.3%,15,29.7%,32,1.8%,11
IND,13.8%,13,15.7%,6,18.7%,6-0,27.3%,1,9.4%,26,-4.2%,30
JAC,14.1%,4,12.4%,9,17.9%,3-3,-3.7%,19,-19.1%,4,-1.2%,19
KC,10.1%,17,10.0%,11,3.6%,3-3,-2.8%,18,-9.4%,13,3.5%,6
MIA,-20.1%,24,-20.1%,27,-9.3%,1-6,-20.5%,28,-3.0%,15,-2.7%,26
MIN,9.6%,19,5.5%,16,11.7%,4-2,-10.8%,24,-20.6%,3,-0.1%,14
NE,14.8%,11,14.2%,8,27.6%,5-1,11.7%,6,1.3%,22,4.3%,5
NO,11.3%,10,5.7%,15,16.2%,5-1,7.0%,9,0.9%,19,5.2%,3
NYG,33.3%,5,29.2%,4,27.8%,4-2,21.3%,3,-10.8%,11,1.1%,12
NYJ,-17.4%,27,-19.1%,25,-12.0%,4-3,0.4%,12,18.2%,29,0.3%,13
OAK,-39.1%,32,-34.4%,31,-43.1%,1-5,-35.2%,32,0.8%,18,-3.2%,28
PHI,39.2%,3,35.2%,2,33.6%,4-3,25.0%,2,-15.1%,8,-0.8%,18
PIT,17.3%,8,17.7%,5,8.8%,2-4,8.5%,8,-15.4%,6,-6.5%,31
SD,34.0%,1,31.9%,3,44.1%,4-2,15.5%,4,-13.6%,9,4.9%,4
SEA,-5.1%,16,0.2%,19,-14.5%,4-2,-7.5%,23,-2.8%,16,-0.4%,17
SF,-25.9%,29,-26.4%,29,-31.3%,2-4,-2.7%,17,22.9%,31,-0.3%,16
STL,11.8%,9,6.5%,14,26.3%,4-2,13.0%,5,1.0%,21,-0.2%,15
TB,-15.3%,23,-13.6%,21,-26.3%,2-4,-12.8%,25,1.0%,20,-1.6%,22
TEN,-41.0%,30,-37.1%,32,-35.8%,1-5,-21.0%,29,18.5%,30,-1.5%,21
WAS,-3.6%,18,-3.8%,20,-5.4%,2-5,11.1%,7,16.8%,28,2.1%,10
