TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-35.5%,32,-36.5%,31,3-5,-32.1%,31,7.6%,24,4.3%,7
ATL,13.3%,12,12.6%,10,6-2,16.3%,7,1.2%,17,-1.7%,24
BAL,11.0%,13,11.5%,11,6-2,9.8%,10,1.1%,16,2.4%,11
BUF,-28.7%,30,-29.0%,30,0-8,-2.6%,21,29.2%,32,3.1%,10
CAR,-42.9%,31,-43.4%,32,1-7,-44.7%,32,-3.3%,11,-1.4%,23
CHI,-19.9%,26,-21.8%,26,5-3,-29.2%,30,-3.5%,9,5.8%,3
CIN,-4.7%,20,-3.5%,18,2-6,4.3%,15,4.9%,22,-4.1%,27
CLE,7.6%,16,9.0%,13,3-5,3.9%,16,0.7%,15,4.4%,6
DAL,-23.4%,27,-25.6%,28,1-7,-4.1%,22,18.3%,28,-1.0%,21
DEN,-24.7%,29,-24.6%,27,2-6,4.3%,14,24.4%,30,-4.7%,30
DET,-5.4%,19,-4.6%,20,2-6,-4.4%,23,5.2%,23,4.2%,8
GB,21.1%,10,20.2%,5,6-3,14.5%,8,-10.8%,4,-4.3%,28
HOU,2.0%,15,1.4%,16,4-4,28.5%,2,25.4%,31,-1.0%,22
IND,14.9%,8,16.7%,8,5-3,23.1%,5,3.6%,20,-4.5%,29
JAC,-13.6%,25,-14.6%,24,4-4,-1.2%,20,19.7%,29,7.3%,2
KC,21.2%,1,19.8%,6,5-3,12.1%,9,-9.6%,6,-0.4%,17
MIA,5.6%,11,6.8%,15,4-4,8.5%,11,2.3%,18,-0.6%,19
MIN,-8.3%,18,-7.8%,21,3-5,-5.9%,25,2.3%,19,-0.1%,15
NE,17.8%,3,16.4%,9,6-2,28.8%,1,14.5%,27,3.5%,9
NO,9.8%,14,9.8%,12,6-3,6.3%,12,-4.5%,8,-1.0%,20
NYG,30.9%,6,31.2%,1,6-2,16.3%,6,-21.4%,1,-6.8%,31
NYJ,9.9%,9,8.9%,14,6-2,2.4%,18,-2.5%,12,5.0%,4
OAK,-6.0%,22,-3.6%,19,5-4,-8.1%,27,-2.0%,13,0.1%,14
PHI,29.5%,2,30.3%,2,5-3,26.6%,3,-4.9%,7,-1.9%,25
PIT,25.1%,5,24.9%,4,6-2,3.4%,17,-19.8%,2,2.0%,12
SD,18.4%,7,19.6%,7,4-5,23.3%,4,-10.7%,5,-15.5%,32
SEA,-25.4%,24,-28.9%,29,4-4,-22.1%,29,10.8%,26,7.5%,1
SF,-4.2%,17,-0.4%,17,2-6,-7.2%,26,-3.3%,10,-0.3%,16
STL,-18.0%,28,-16.2%,25,4-4,-14.1%,28,0.5%,14,-3.5%,26
TB,-9.9%,23,-10.8%,23,5-3,-1.1%,19,9.7%,25,0.9%,13
TEN,27.4%,4,26.7%,3,5-3,6.3%,13,-16.7%,3,4.5%,5
WAS,-9.5%,21,-8.4%,22,4-4,-5.1%,24,4.0%,21,-0.4%,18
