Game,EGO,Spread,Spread Target,Pick
NO @ ATL,7.09,-7.0,"[-3.5, -5.5]",
CHI @ STL,2.48,1.5,"[1.0, -1.0]",
JAC @ HOU,-8.56,-2.0,"[7.0, 5.0]",
MIN @ GB,-6.11,5.5,"[4.5, 2.5]",
NYJ @ BAL,-3.18,3.5,"[7.0, 4.5]",
CAR @ MIA,5.08,-4.0,"[-1.5, -3.5]",
PIT @ CLE,0.45,2.0,"[3.0, 1.0]",PIT
SD @ KC,-4.55,3.0,"[3.0, 1.0]",KC
TB @ DET,-3.16,7.0,"[7.0, 4.5]",TB
IND @ ARI,-3.03,3.0,"[6.5, 4.5]",
TEN @ OAK,3.0,-2.0,"[0.5, -1.5]",
DAL @ NYG,2.07,2.5,"[1.5, -0.5]",
DEN @ NE,1.55,-2.5,"[-3.0, -5.0]",
SF @ WAS,5.61,-5.0,"[-2.0, -4.0]",
