Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-4.0 / 4.0,CAR,MIA,-,-4.0 / 4.0
+1.5 / -1.5,CHI,STL,-,+1.5 / -1.5
+2.5 / -2.5,DAL,NYG,-,+2.5 / -2.5
-2.5 / 2.5,DEN,NWE,-,-2.5 / 2.5
+3.0 / -3.0,IND,ARI,-,+3.0 / -3.0
-2.0 / 2.0,JAX,HOU,-,-2.0 / 2.0
+5.5 / -5.5,MIN,GNB,-,+5.5 / -5.5
-7.0 / 7.0,NOR,ATL,-,-7.0 / 7.0
+3.5 / -3.5,NYJ,BAL,-,+3.5 / -3.5
+2.0 / -2.0,PIT,CLE,-,+2.0 / -2.0
+3.0 / -3.0,SDG,KAN,-,+3.0 / -3.0
-5.0 / 5.0,SFO,WAS,-,-5.0 / 5.0
+7.0 / -7.0,TAM,DET,-,+7.0 / -7.0
-2.0 / 2.0,TEN,OAK,-,-2.0 / 2.0
