TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-37.6%,32,-31.6%,32,3-3,-35.7%,31,2.5%,17,0.6%,14
ATL,12.5%,10,12.8%,9,5-2,15.0%,8,3.0%,18,0.5%,15
BAL,8.4%,11,10.6%,12,5-2,7.2%,14,2.3%,16,3.5%,11
BUF,-28.4%,29,-25.0%,30,0-6,-1.7%,20,31.3%,32,4.6%,7
CAR,-33.3%,31,-28.2%,31,1-5,-39.6%,32,-7.6%,6,-1.4%,20
CHI,-11.2%,24,-9.4%,23,4-3,-28.9%,30,-9.9%,5,7.8%,2
CIN,-4.0%,18,-3.8%,19,2-4,4.2%,16,6.7%,22,-1.5%,21
CLE,-4.1%,25,-5.5%,21,2-5,-4.5%,22,3.3%,20,3.6%,10
DAL,2.1%,17,1.9%,15,1-5,13.9%,10,11.7%,28,-0.1%,16
DEN,-25.9%,22,-24.5%,29,2-5,2.0%,17,24.0%,29,-3.9%,28
DET,-4.5%,20,-9.6%,24,1-5,-3.6%,21,8.2%,24,7.3%,4
GB,11.5%,12,11.5%,11,4-3,16.8%,6,-1.1%,13,-6.4%,30
HOU,3.7%,15,-0.3%,18,4-2,32.0%,1,26.6%,30,-1.7%,22
IND,12.3%,8,13.6%,8,4-2,25.6%,3,7.8%,23,-5.6%,29
JAC,-25.5%,27,-24.1%,28,3-4,-5.6%,23,27.6%,31,7.6%,3
KC,26.2%,7,20.8%,6,4-2,17.6%,5,-4.4%,9,4.1%,9
MIA,5.9%,16,7.3%,13,3-3,8.0%,12,-1.1%,12,-3.3%,26
MIN,-3.4%,21,0.0%,17,2-4,-13.0%,28,-7.0%,7,2.6%,13
NE,26.2%,3,25.5%,3,5-1,29.0%,2,9.9%,27,7.1%,5
NO,4.6%,9,4.9%,14,4-3,7.5%,13,0.3%,14,-2.7%,24
NYG,27.9%,2,26.9%,2,5-2,12.2%,11,-22.9%,1,-7.1%,31
NYJ,20.5%,5,18.6%,7,5-1,14.8%,9,0.5%,15,6.3%,6
OAK,-19.8%,30,-20.1%,26,3-4,-10.7%,26,8.8%,26,-0.2%,17
PHI,25.0%,6,24.1%,4,4-3,23.9%,4,-3.9%,10,-2.7%,25
PIT,27.8%,1,27.4%,1,5-1,7.0%,15,-17.8%,3,3.0%,12
SD,13.9%,13,12.6%,10,2-5,15.6%,7,-15.6%,4,-17.4%,32
SEA,2.1%,14,0.1%,16,4-2,-9.8%,25,-2.0%,11,9.9%,1
SF,-7.1%,23,-7.4%,22,1-6,-11.3%,27,-5.2%,8,-1.0%,19
STL,-20.8%,28,-20.8%,27,3-4,-14.1%,29,3.2%,19,-3.5%,27
TB,-14.9%,26,-14.6%,25,4-2,-6.0%,24,8.5%,25,-0.5%,18
TEN,25.9%,4,23.4%,5,5-2,0.7%,18,-20.9%,2,4.3%,8
WAS,-7.3%,19,-5.4%,20,4-3,-1.6%,19,3.8%,21,-1.9%,23
