TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,14.10%,10,7.10%,12,02-May,7.90%,11,-5.70%,9,0.40%,15
ATL,-13.80%,23,-4.90%,19,06-Jan,-4.10%,23,8.70%,27,-1.00%,21
BAL,32.80%,2,22.20%,3,01-May,0.90%,19,-18.80%,3,13.10%,1
BUF,3.40%,19,3.90%,13,02-May,7.70%,12,5.90%,21,1.60%,10
CAR,0.60%,16,-6.30%,20,04-Mar,7.90%,10,7.00%,23,-0.40%,17
CHI,-2.40%,14,-2.20%,16,02-May,-16.60%,26,-15.20%,6,-0.90%,19
CIN,-25.20%,29,-19.60%,31,2001-05-01,-18.20%,28,8.40%,26,1.50%,11
CLE,-9.70%,25,-7.20%,24,02-May,4.00%,15,8.00%,24,-5.70%,29
DAL,-26.00%,26,-17.00%,29,05-Feb,-13.50%,24,12.30%,30,-0.30%,16
DEN,-24.00%,24,-15.80%,28,04-Feb,-28.10%,31,-8.70%,7,-4.70%,27
DET,2.50%,18,2.50%,14,03-Mar,2.30%,18,2.70%,18,3.00%,8
GB,15.00%,12,7.90%,11,01-May,20.10%,4,6.10%,22,1.00%,13
HOU,-6.90%,15,-4.00%,18,06-Jan,4.60%,14,10.70%,29,-0.90%,18
IND,23.30%,4,14.90%,6,02-Apr,-3.00%,22,-18.80%,4,7.50%,2
JAX,-24.70%,28,-17.80%,30,06-Jan,0.10%,20,20.00%,32,-4.80%,28
KC,25.70%,6,23.60%,2,01-Jun,25.10%,1,-2.20%,13,-1.70%,24
LAC,-3.40%,20,-2.40%,17,04-Feb,5.30%,13,-3.00%,12,-11.70%,32
LAR,20.50%,9,13.30%,7,02-May,19.00%,5,-4.20%,11,-2.70%,25
LV,-10.50%,21,-6.90%,23,03-Mar,9.20%,9,18.40%,31,-1.30%,22
MIA,8.80%,11,-6.70%,21,03-Mar,3.40%,16,0.70%,14,6.10%,3
MIN,-2.70%,17,-1.80%,15,05-Jan,-0.20%,21,1.50%,15,-1.00%,20
NE,-20.80%,22,-10.00%,25,04-Feb,-14.90%,25,8.30%,25,2.40%,9
NO,21.10%,7,18.50%,4,02-Apr,11.10%,7,-5.70%,10,4.30%,7
NYG,-25.10%,30,-15.80%,27,06-Jan,-25.30%,30,4.20%,19,4.40%,6
NYJ,-43.90%,32,-28.20%,32,0-7,-31.90%,32,5.60%,20,-6.40%,30
PHI,-19.90%,31,-6.80%,22,2002-04-01,-16.70%,27,1.80%,16,-1.50%,23
PIT,27.30%,3,17.10%,5,6-0,2.80%,17,-19.40%,2,5.00%,5
SEA,17.40%,5,12.40%,8,01-May,21.00%,2,8.90%,28,5.30%,4
SF,19.70%,13,12.10%,9,03-Apr,10.90%,8,-7.50%,8,1.30%,12
TB,45.00%,1,27.20%,1,02-May,14.60%,6,-29.90%,1,0.50%,14
TEN,11.60%,8,8.10%,10,01-May,20.70%,3,2.30%,17,-6.80%,31
WAS,-7.90%,27,-13.30%,26,05-Feb,-22.70%,29,-18.00%,5,-3.30%,26
