Game,EGO,Spread,Spread Target,Pick
IND @ STL,14.91,-14.5,"[-11.0, -13.5]",
SD @ KC,2.5,-5.5,"[-4.0, -6.0]",KC
GB @ CLE,8.29,-9.0,"[-10.0, -12.0]",
MIN @ PIT,0.38,6.0,"[3.5, 1.0]",
SF @ HOU,-3.62,3.0,"[2.0, -0.0]",
NE @ TB,13.85,-15.5,"[-15.5, -17.5]",TB
BUF @ CAR,0.23,7.0,"[3.5, 1.5]",
NYJ @ OAK,6.18,-6.0,"[-2.5, -4.5]",
ATL @ DAL,-1.94,5.0,"[5.5, 3.5]",ATL
NO @ MIA,6.88,-6.5,"[-3.0, -5.5]",
CHI @ CIN,-0.32,-2.0,"[-1.0, -3.5]",CIN
ARI @ NYG,-8.52,8.0,"[7.0, 5.0]",
PHI @ WAS,7.33,-9.0,"[-9.0, -11.0]",WAS
