TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,8.3%,22,0.7%,16,3-2,2.5%,18,-7.3%,8,-1.6%,21
ATL,19.9%,10,10.3%,11,4-1,18.3%,9,2.2%,17,3.8%,6
BAL,27.6%,6,25.3%,7,3-3,24.6%,6,-6.3%,11,-3.3%,25
BUF,-10.4%,24,-14.0%,24,2-4,-17.5%,26,-6.9%,10,0.2%,13
CAR,-34.9%,29,-25.1%,26,2-3,-22.6%,29,6.1%,20,-6.2%,30
CHI,-5.2%,16,2.3%,15,3-2,-16.4%,25,-3.1%,13,8.1%,3
CIN,-6.3%,18,-6.3%,21,4-2,5.8%,17,5.8%,19,-6.3%,31
CLE,-30.7%,25,-26.7%,27,1-5,-26.1%,31,18.3%,27,13.8%,1
DAL,12.5%,11,9.0%,12,3-2,27.2%,4,13.9%,25,-0.7%,17
DEN,33.1%,7,22.5%,8,6-0,17.1%,10,-18.8%,3,-2.8%,24
DET,-54.3%,31,-45.6%,32,1-5,-25.9%,30,22.7%,31,-5.7%,27
GB,28.9%,8,19.6%,9,3-2,13.4%,12,-15.8%,4,-0.3%,15
HOU,-4.4%,20,-5.0%,20,3-3,8.7%,15,16.1%,26,3.0%,7
IND,41.2%,4,39.6%,1,5-0,35.3%,2,-7.0%,9,-1.1%,19
JAC,2.7%,15,5.8%,13,3-3,13.1%,14,11.8%,23,1.4%,10
KC,-22.3%,26,-18.4%,25,1-5,-14.5%,22,13.6%,24,5.8%,4
MIA,3.3%,17,-2.7%,18,2-3,13.5%,11,8.9%,22,-1.3%,20
MIN,29.7%,5,27.6%,6,6-0,19.5%,8,-1.7%,14,8.5%,2
NE,34.8%,9,33.7%,3,4-2,34.1%,3,-1.5%,15,-0.8%,18
NO,54.4%,1,37.6%,2,5-0,41.0%,1,-19.4%,2,-6.0%,29
NYG,33.5%,3,30.1%,5,5-1,21.4%,7,-11.0%,6,1.2%,11
NYJ,0.3%,13,-3.6%,19,3-3,-13.6%,20,-11.2%,5,2.7%,8
OAK,-47.3%,32,-40.9%,31,2-4,-38.9%,32,5.1%,18,-3.3%,26
PHI,44.2%,2,33.6%,4,3-2,13.2%,13,-26.7%,1,4.3%,5
PIT,14.1%,12,15.8%,10,4-2,27.1%,5,7.1%,21,-6.0%,28
SD,-10.5%,23,2.8%,14,2-3,7.0%,16,19.2%,28,1.7%,9
SEA,-3.1%,14,-0.4%,17,2-4,-3.1%,19,0.8%,16,0.7%,12
SF,-7.3%,21,-11.4%,23,3-2,-15.0%,24,-10.3%,7,-2.5%,23
STL,-41.3%,30,-34.3%,28,0-6,-18.4%,27,21.1%,29,-1.7%,22
TB,-41.3%,28,-35.8%,30,0-6,-13.9%,21,27.1%,32,-0.4%,16
TEN,-46.4%,27,-34.5%,29,0-6,-18.5%,28,21.3%,30,-6.6%,32
WAS,-8.8%,19,-8.6%,22,2-4,-14.8%,23,-6.1%,12,-0.1%,14
