TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-39.5%,31,-38.9%,31,3-8,-28.9%,31,13.4%,25,2.9%,9
ATL,15.8%,9,15.4%,9,9-2,16.9%,5,3.5%,18,2.4%,10
BAL,19.7%,7,21.0%,7,8-3,12.2%,12,-4.1%,8,3.3%,6
BUF,-13.3%,29,-11.3%,22,2-9,1.3%,19,16.9%,26,2.3%,13
CAR,-39.1%,32,-39.6%,32,1-10,-37.9%,32,1.9%,14,0.7%,15
CHI,-2.5%,19,-0.2%,18,8-3,-18.1%,30,-9.6%,6,6.0%,3
CIN,-11.3%,18,-13.4%,25,2-9,-2.3%,21,3.6%,19,-5.4%,31
CLE,6.7%,13,8.3%,13,4-7,3.5%,18,0.0%,12,3.2%,7
DAL,-17.5%,25,-19.9%,29,3-8,-1.0%,20,18.8%,29,2.4%,12
DEN,-11.7%,24,-9.7%,20,3-8,15.2%,8,23.4%,31,-3.6%,28
DET,-12.4%,20,-12.5%,24,2-9,-6.3%,24,7.3%,22,1.2%,14
GB,22.4%,4,21.9%,5,7-4,15.7%,6,-10.1%,4,-3.5%,27
HOU,4.4%,17,5.8%,15,5-6,29.0%,2,24.2%,32,-0.4%,20
IND,7.4%,11,6.7%,14,6-5,14.9%,9,2.6%,16,-5.0%,30
JAC,-11.5%,22,-10.9%,21,6-5,5.0%,17,21.3%,30,4.8%,5
KC,8.4%,15,5.2%,16,7-4,15.6%,7,4.5%,20,-2.6%,26
MIA,10.7%,12,12.2%,12,6-5,12.7%,11,1.3%,13,-0.7%,21
MIN,-11.8%,26,-11.9%,23,4-7,-6.5%,25,3.3%,17,-2.0%,25
NE,30.6%,3,30.5%,2,9-2,45.2%,1,17.0%,27,2.4%,11
NO,11.6%,14,12.7%,10,8-3,11.6%,14,-1.5%,9,-1.5%,24
NYG,20.6%,6,21.7%,6,7-4,12.2%,13,-12.9%,3,-4.5%,29
NYJ,19.0%,10,16.8%,8,9-2,7.2%,16,-6.8%,7,4.9%,4
OAK,-17.2%,27,-13.5%,26,5-6,-14.9%,29,2.3%,15,0.1%,17
PHI,27.3%,1,27.9%,3,7-4,28.0%,3,-0.2%,11,-0.9%,22
PIT,33.4%,2,33.4%,1,8-3,13.5%,10,-16.7%,1,3.2%,8
SD,20.5%,8,22.2%,4,6-5,19.1%,4,-13.8%,2,-12.4%,32
SEA,-26.1%,30,-30.2%,30,5-6,-14.2%,28,18.8%,28,6.9%,1
SF,-6.8%,21,-4.0%,19,4-7,-7.1%,26,-0.5%,10,-0.1%,18
STL,-19.8%,28,-19.0%,28,5-6,-9.3%,27,9.4%,23,-1.2%,23
TB,0.4%,16,0.9%,17,7-4,7.6%,15,7.1%,21,-0.2%,19
TEN,13.6%,5,12.7%,11,5-6,-2.6%,22,-9.9%,5,6.3%,2
WAS,-14.3%,23,-14.6%,27,5-6,-3.6%,23,10.9%,24,0.2%,16
